parent_url,parent_name,this_url,name,level
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_9,PDCCH链路介绍9,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_1,DCI的格式及长度9,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_9,PDCCH链路介绍9,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_2,PDCCH链路流程10,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_9,PDCCH链路介绍9,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_3,PDCCH资源映射原则11,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_10,高聚合等级的PDCCH盲解码13,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_4,功率检测判断CCE位置13,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_10,高聚合等级的PDCCH盲解码13,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_5,基于累积度量优势的PDCCH盲解码15,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_10,高聚合等级的PDCCH盲解码13,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_6,PDCCH盲解码算法的性能18,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_11,包含1CCE的PDCCH盲解码21,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_7,1CCE盲解码的难点21,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_11,包含1CCE的PDCCH盲解码21,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_8,1CCE解码误块率仿真22,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_11,包含1CCE的PDCCH盲解码21,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_9,未知聚合等级的1CCE解码仿真22,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_11,包含1CCE的PDCCH盲解码21,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_10,1CCE解码对于高聚合等级解码的影响24,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_11,包含1CCE的PDCCH盲解码21,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_11,信号质量自适应的PDCCH盲解码技术25,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_16,现有的DFT信道估计算法35,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_12,DFT信道估计算法的原理及步骤35,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_16,现有的DFT信道估计算法35,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_13,传统DFT算法中的边界效应36,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_16,现有的DFT信道估计算法35,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_14,己有的VCFR算法调研37,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_17,基于滑动窗动态去噪的VCFR信道估计38,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_15,算法原理说明38,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_17,基于滑动窗动态去噪的VCFR信道估计38,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_16,算法具体步骤39,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_17,基于滑动窗动态去噪的VCFR信道估计38,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_17,算法仿真结果41,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_21,单独复用的资源分配算法描述53,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_18,基于0-1规划的理想算法53,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_21,单独复用的资源分配算法描述53,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_19,时间复杂度低的贪心算法55,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_24,算法仿真60,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_20,仿真条件及参数60,3
蜂窝与D2D异构网络的干扰共存技术研究与实现_2级_24,算法仿真60,蜂窝与D2D异构网络的干扰共存技术研究与实现_3级_21,仿真结果及分析60,3
