dissertation,name,this_url,language
蜂窝与D2D异构网络的干扰共存技术研究与实现,D2D,蜂窝与D2D异构网络的干扰共存技术研究与实现_关键词_1,中文
蜂窝与D2D异构网络的干扰共存技术研究与实现,LTE,蜂窝与D2D异构网络的干扰共存技术研究与实现_关键词_2,中文
蜂窝与D2D异构网络的干扰共存技术研究与实现,PDCCH,蜂窝与D2D异构网络的干扰共存技术研究与实现_关键词_3,中文
蜂窝与D2D异构网络的干扰共存技术研究与实现,信道估计,蜂窝与D2D异构网络的干扰共存技术研究与实现_关键词_4,中文
蜂窝与D2D异构网络的干扰共存技术研究与实现,干扰控制,蜂窝与D2D异构网络的干扰共存技术研究与实现_关键词_5,中文
蜂窝与D2D异构网络的干扰共存技术研究与实现,pdcch,蜂窝与D2D异构网络的干扰共存技术研究与实现_关键词_6,中文
蜂窝与D2D异构网络的干扰共存技术研究与实现,d2d,蜂窝与D2D异构网络的干扰共存技术研究与实现_关键词_7,中文
蜂窝与D2D异构网络的干扰共存技术研究与实现,lte,蜂窝与D2D异构网络的干扰共存技术研究与实现_关键词_8,中文
蜂窝与D2D异构网络的干扰共存技术研究与实现,D2D,蜂窝与D2D异构网络的干扰共存技术研究与实现_keyword_9,英文
蜂窝与D2D异构网络的干扰共存技术研究与实现,LTE,蜂窝与D2D异构网络的干扰共存技术研究与实现_keyword_10,英文
蜂窝与D2D异构网络的干扰共存技术研究与实现,PDCCH,蜂窝与D2D异构网络的干扰共存技术研究与实现_keyword_11,英文
蜂窝与D2D异构网络的干扰共存技术研究与实现,pdcch,蜂窝与D2D异构网络的干扰共存技术研究与实现_keyword_12,英文
蜂窝与D2D异构网络的干扰共存技术研究与实现,channel estimation,蜂窝与D2D异构网络的干扰共存技术研究与实现_keyword_13,英文
蜂窝与D2D异构网络的干扰共存技术研究与实现,interference control,蜂窝与D2D异构网络的干扰共存技术研究与实现_keyword_14,英文
蜂窝与D2D异构网络的干扰共存技术研究与实现,d2d,蜂窝与D2D异构网络的干扰共存技术研究与实现_keyword_15,英文
蜂窝与D2D异构网络的干扰共存技术研究与实现,lte,蜂窝与D2D异构网络的干扰共存技术研究与实现_keyword_16,英文
