parent_url,parent_name,this_url,name,level
认知无线网络中的高效频谱利用和性能分析_1级_1,绪论,认知无线网络中的高效频谱利用和性能分析_2级_1,研究背景及意义,2
认知无线网络中的高效频谱利用和性能分析_1级_1,绪论,认知无线网络中的高效频谱利用和性能分析_2级_2,研究现状,2
认知无线网络中的高效频谱利用和性能分析_1级_1,绪论,认知无线网络中的高效频谱利用和性能分析_2级_3,主要研究内容及创新,2
认知无线网络中的高效频谱利用和性能分析_1级_1,绪论,认知无线网络中的高效频谱利用和性能分析_2级_4,论文组织结构,2
认知无线网络中的高效频谱利用和性能分析_1级_2,认知无线网络中认知信息表征、度量与传递,认知无线网络中的高效频谱利用和性能分析_2级_5,研究背景,2
认知无线网络中的高效频谱利用和性能分析_1级_2,认知无线网络中认知信息表征、度量与传递,认知无线网络中的高效频谱利用和性能分析_2级_6,认知信息的表征理论,2
认知无线网络中的高效频谱利用和性能分析_1级_2,认知无线网络中认知信息表征、度量与传递,认知无线网络中的高效频谱利用和性能分析_2级_7,认知信息度量方法,2
认知无线网络中的高效频谱利用和性能分析_1级_2,认知无线网络中认知信息表征、度量与传递,认知无线网络中的高效频谱利用和性能分析_2级_8,认知信息传递方法,2
认知无线网络中的高效频谱利用和性能分析_1级_2,认知无线网络中认知信息表征、度量与传递,认知无线网络中的高效频谱利用和性能分析_2级_9,仿真结果与分析,2
认知无线网络中的高效频谱利用和性能分析_1级_2,认知无线网络中认知信息表征、度量与传递,认知无线网络中的高效频谱利用和性能分析_2级_10,结论,2
认知无线网络中的高效频谱利用和性能分析_1级_3,认知无线网络空时二维频谱机会,认知无线网络中的高效频谱利用和性能分析_2级_11,研究背景,2
认知无线网络中的高效频谱利用和性能分析_1级_3,认知无线网络空时二维频谱机会,认知无线网络中的高效频谱利用和性能分析_2级_12,系统模型,2
认知无线网络中的高效频谱利用和性能分析_1级_3,认知无线网络空时二维频谱机会,认知无线网络中的高效频谱利用和性能分析_2级_13,灰区的时间维度频谱机会,2
认知无线网络中的高效频谱利用和性能分析_1级_3,认知无线网络空时二维频谱机会,认知无线网络中的高效频谱利用和性能分析_2级_14,白区的空间维度频谱机会,2
认知无线网络中的高效频谱利用和性能分析_1级_3,认知无线网络空时二维频谱机会,认知无线网络中的高效频谱利用和性能分析_2级_15,三区的半径,2
认知无线网络中的高效频谱利用和性能分析_1级_3,认知无线网络空时二维频谱机会,认知无线网络中的高效频谱利用和性能分析_2级_16,仿真结果与分析,2
认知无线网络中的高效频谱利用和性能分析_1级_3,认知无线网络空时二维频谱机会,认知无线网络中的高效频谱利用和性能分析_2级_17,结论131,2
认知无线网络中的高效频谱利用和性能分析_1级_4,认知无线网络角度维频谱机会135,认知无线网络中的高效频谱利用和性能分析_2级_18,研究背景135,2
认知无线网络中的高效频谱利用和性能分析_1级_4,认知无线网络角度维频谱机会135,认知无线网络中的高效频谱利用和性能分析_2级_19,网络协议和定义138,2
认知无线网络中的高效频谱利用和性能分析_1级_4,认知无线网络角度维频谱机会135,认知无线网络中的高效频谱利用和性能分析_2级_20,认知无线网络采用方向性传输的容量分析150,2
认知无线网络中的高效频谱利用和性能分析_1级_4,认知无线网络角度维频谱机会135,认知无线网络中的高效频谱利用和性能分析_2级_21,不允许次用户等待的网络连通性分析155,2
认知无线网络中的高效频谱利用和性能分析_1级_4,认知无线网络角度维频谱机会135,认知无线网络中的高效频谱利用和性能分析_2级_22,结论,2
认知无线网络中的高效频谱利用和性能分析_1级_5,认知无线网络高度维频谱机会169,认知无线网络中的高效频谱利用和性能分析_2级_23,研究背景169,2
认知无线网络中的高效频谱利用和性能分析_1级_5,认知无线网络高度维频谱机会169,认知无线网络中的高效频谱利用和性能分析_2级_24,系统模型,2
认知无线网络中的高效频谱利用和性能分析_1级_5,认知无线网络高度维频谱机会169,认知无线网络中的高效频谱利用和性能分析_2级_25,网络协议172,2
认知无线网络中的高效频谱利用和性能分析_1级_5,认知无线网络高度维频谱机会169,认知无线网络中的高效频谱利用和性能分析_2级_26,吞吐量尺度定律,2
认知无线网络中的高效频谱利用和性能分析_1级_5,认知无线网络高度维频谱机会169,认知无线网络中的高效频谱利用和性能分析_2级_27,结论,2
认知无线网络中的高效频谱利用和性能分析_1级_6,总结与展望187,认知无线网络中的高效频谱利用和性能分析_2级_28,论文总结,2
认知无线网络中的高效频谱利用和性能分析_1级_6,总结与展望187,认知无线网络中的高效频谱利用和性能分析_2级_29,未来研究展望,2
