,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
主用户,1,0,32,50,104,107,38,4,336,57.106249999999996
次用户,2,0,19,20,69,83,26,3,222,39.68125
主用户保护区,0,0,0,0,1,25,4,0,30,5.4375
连通性,0,0,16,0,0,65,9,1,91,15.59375
传输,0,0,5,3,1,10,5,0,24,3.9
次用户栅格,0,0,0,0,0,49,0,0,49,8.88125
次用户网络,0,0,6,0,0,22,6,0,34,5.825
用户,0,0,14,41,39,36,18,1,149,23.912499999999998
阴影区域,0,0,0,1,0,2,2,0,5,0.85
用户中断事件,0,0,0,0,0,1,0,0,1,0.18125
保护区,0,0,0,0,2,14,0,0,16,2.9
方向性接收,0,0,0,0,0,1,0,0,1,0.18125
方向性发射,0,0,0,0,0,1,0,0,1,0.18125
主次用户,0,0,0,1,1,3,1,0,6,1.03125
密度,0,0,0,1,4,3,1,0,9,1.575
时间动态性,0,0,0,0,0,1,0,0,1,0.18125
主用户业务,0,0,0,1,0,2,0,0,3,0.4875
工学,0,0,0,1,2,1,0,0,4,0.66875
邮电,0,0,1,0,0,1,0,0,2,0.30625
数据,0,0,1,0,0,9,2,0,12,2.11875
次用户路径,0,0,0,0,0,31,0,0,31,5.6187499999999995
网络协议,2,0,6,0,0,10,12,2,32,7.1
网络连通性,0,0,0,0,0,1,0,0,1,0.18125
频谱机,5,0,21,4,19,12,9,6,76,16.4625
缓存数据,0,0,0,0,0,2,0,0,2,0.3625
传输中断,0,0,0,0,0,2,1,0,3,0.54375
网络,1,0,29,7,1,5,8,0,51,8.0375
信息,0,0,4,7,4,5,4,0,24,3.7312499999999997
节点,0,0,6,4,2,16,32,0,60,10.3125
传输机会,0,0,0,0,0,3,1,0,4,0.725
时隙,0,0,1,0,0,3,4,0,8,1.39375
主用户栅格,0,0,0,0,0,33,0,0,33,5.98125
信号,0,0,4,7,2,2,1,0,16,2.28125
栅格,0,0,24,278,1,11,0,0,314,39.925
容量尺度,3,0,13,0,0,3,9,0,28,6.8
无线网络,9,0,72,3,3,12,16,7,122,25.2625
链路,0,0,1,0,0,1,7,0,9,1.575
认知无线网络,17,0,100,8,7,10,17,14,173,39.2
主用户时隙,0,0,0,0,0,1,0,0,1,0.18125
护区,0,0,0,0,0,1,0,0,1,0.18125
阴影,0,0,0,0,0,1,0,0,1,0.18125
传输帧,0,0,0,0,0,2,1,0,3,0.54375
中心栅格,0,0,0,0,0,1,0,0,1,0.18125
邻居栅格,0,0,0,0,0,1,0,0,1,0.18125
