parent_url,parent_name,this_url,name,level
认知无线网络中精准频谱感知技术研究_1级_0,总结与展望99,认知无线网络中精准频谱感知技术研究_2级_1,109IEEESTD.2011.5756728,2
认知无线网络中精准频谱感知技术研究_1级_1,Abstract,认知无线网络中精准频谱感知技术研究_2级_2,研究背景1,2
认知无线网络中精准频谱感知技术研究_1级_1,Abstract,认知无线网络中精准频谱感知技术研究_2级_3,认知无线电技术简介2,2
认知无线网络中精准频谱感知技术研究_1级_1,Abstract,认知无线网络中精准频谱感知技术研究_2级_4,单节点频谱感知4,2
认知无线网络中精准频谱感知技术研究_1级_1,Abstract,认知无线网络中精准频谱感知技术研究_2级_5,协作频谱感知6,2
认知无线网络中精准频谱感知技术研究_1级_1,Abstract,认知无线网络中精准频谱感知技术研究_2级_6,智能频谱感知7,2
认知无线网络中精准频谱感知技术研究_1级_1,Abstract,认知无线网络中精准频谱感知技术研究_2级_7,频谱感知面临的技术挑战11,2
认知无线网络中精准频谱感知技术研究_1级_1,Abstract,认知无线网络中精准频谱感知技术研究_2级_8,论文研究内容及章节安排,2
认知无线网络中精准频谱感知技术研究_1级_2,研究基础15,认知无线网络中精准频谱感知技术研究_2级_9,频谱感知模型15,2
认知无线网络中精准频谱感知技术研究_1级_2,研究基础15,认知无线网络中精准频谱感知技术研究_2级_10,单节点频谱感知16,2
认知无线网络中精准频谱感知技术研究_1级_2,研究基础15,认知无线网络中精准频谱感知技术研究_2级_11,协作频谱感知算法22,2
认知无线网络中精准频谱感知技术研究_1级_2,研究基础15,认知无线网络中精准频谱感知技术研究_2级_12,小结28,2
认知无线网络中精准频谱感知技术研究_1级_3,基于观测信号半自适应采样的频谱感知技术29,认知无线网络中精准频谱感知技术研究_2级_13,系统模型29,2
认知无线网络中精准频谱感知技术研究_1级_3,基于观测信号半自适应采样的频谱感知技术29,认知无线网络中精准频谱感知技术研究_2级_14,半自适应采样频谱感知技术30,2
认知无线网络中精准频谱感知技术研究_1级_3,基于观测信号半自适应采样的频谱感知技术29,认知无线网络中精准频谱感知技术研究_2级_15,基于观测信号半自适应采样和估计信噪比的协作频谱感知37,2
认知无线网络中精准频谱感知技术研究_1级_3,基于观测信号半自适应采样的频谱感知技术29,认知无线网络中精准频谱感知技术研究_2级_16,实验与分析39,2
认知无线网络中精准频谱感知技术研究_1级_3,基于观测信号半自适应采样的频谱感知技术29,认知无线网络中精准频谱感知技术研究_2级_17,本章小结45,2
认知无线网络中精准频谱感知技术研究_1级_4,智能频谱感知技术47,认知无线网络中精准频谱感知技术研究_2级_18,基于生成对抗网络的频谱感知技术47,2
认知无线网络中精准频谱感知技术研究_1级_4,智能频谱感知技术47,认知无线网络中精准频谱感知技术研究_2级_19,基于卷积神经网络的协作频谱感知66,2
认知无线网络中精准频谱感知技术研究_1级_4,智能频谱感知技术47,认知无线网络中精准频谱感知技术研究_2级_20,本章小结77,2
认知无线网络中精准频谱感知技术研究_1级_5,相关异构认知网络下的协作频谱感知79,认知无线网络中精准频谱感知技术研究_2级_21,集中式协作频谱感知模型及N-out-of-K判决规则79,2
认知无线网络中精准频谱感知技术研究_1级_5,相关异构认知网络下的协作频谱感知79,认知无线网络中精准频谱感知技术研究_2级_22,相关异构认知网络N-out-of-K判决阈值及近似模型推导81,2
认知无线网络中精准频谱感知技术研究_1级_5,相关异构认知网络下的协作频谱感知79,认知无线网络中精准频谱感知技术研究_2级_23,仿真与讨论92,2
认知无线网络中精准频谱感知技术研究_1级_5,相关异构认知网络下的协作频谱感知79,认知无线网络中精准频谱感知技术研究_2级_24,本章小结97,2
