dissertation,name,this_url,language,word_frequency
认知无线网络中精准频谱感知技术研究,频谱感知,认知无线网络中精准频谱感知技术研究_摘要_1,中文,5
认知无线网络中精准频谱感知技术研究,频段,认知无线网络中精准频谱感知技术研究_摘要_2,中文,4
认知无线网络中精准频谱感知技术研究,节点,认知无线网络中精准频谱感知技术研究_摘要_3,中文,4
认知无线网络中精准频谱感知技术研究,协作频谱感知方案,认知无线网络中精准频谱感知技术研究_摘要_4,中文,3
认知无线网络中精准频谱感知技术研究,卷积神经网络,认知无线网络中精准频谱感知技术研究_摘要_5,中文,3
认知无线网络中精准频谱感知技术研究,接收信号,认知无线网络中精准频谱感知技术研究_摘要_6,中文,3
认知无线网络中精准频谱感知技术研究,观测信号,认知无线网络中精准频谱感知技术研究_摘要_7,中文,3
认知无线网络中精准频谱感知技术研究,感知性能,认知无线网络中精准频谱感知技术研究_摘要_8,中文,3
认知无线网络中精准频谱感知技术研究,感知精度,认知无线网络中精准频谱感知技术研究_摘要_9,中文,3
认知无线网络中精准频谱感知技术研究,近似误差,认知无线网络中精准频谱感知技术研究_摘要_10,中文,2
认知无线网络中精准频谱感知技术研究,融合中心,认知无线网络中精准频谱感知技术研究_摘要_11,中文,2
认知无线网络中精准频谱感知技术研究,alexnet,认知无线网络中精准频谱感知技术研究_摘要_12,中文,2
认知无线网络中精准频谱感知技术研究,vgg-16,认知无线网络中精准频谱感知技术研究_摘要_13,中文,2
认知无线网络中精准频谱感知技术研究,cnn,认知无线网络中精准频谱感知技术研究_摘要_14,中文,2
认知无线网络中精准频谱感知技术研究,近似模型,认知无线网络中精准频谱感知技术研究_摘要_15,中文,2
认知无线网络中精准频谱感知技术研究,感知复杂度,认知无线网络中精准频谱感知技术研究_摘要_16,中文,2
认知无线网络中精准频谱感知技术研究,采样点,认知无线网络中精准频谱感知技术研究_摘要_17,中文,2
认知无线网络中精准频谱感知技术研究,长短期记忆网络,认知无线网络中精准频谱感知技术研究_摘要_18,中文,2
认知无线网络中精准频谱感知技术研究,环境信噪比评估架构,认知无线网络中精准频谱感知技术研究_摘要_19,中文,2
认知无线网络中精准频谱感知技术研究,二维数据集,认知无线网络中精准频谱感知技术研究_摘要_20,中文,2
认知无线网络中精准频谱感知技术研究,对抗网络,认知无线网络中精准频谱感知技术研究_摘要_21,中文,2
认知无线网络中精准频谱感知技术研究,半自适应,认知无线网络中精准频谱感知技术研究_摘要_22,中文,2
认知无线网络中精准频谱感知技术研究,频谱感知精度,认知无线网络中精准频谱感知技术研究_摘要_23,中文,2
认知无线网络中精准频谱感知技术研究,频谱感知技术,认知无线网络中精准频谱感知技术研究_摘要_24,中文,2
认知无线网络中精准频谱感知技术研究,节点异构,认知无线网络中精准频谱感知技术研究_摘要_25,中文,2
认知无线网络中精准频谱感知技术研究,精准频谱感知技术,认知无线网络中精准频谱感知技术研究_摘要_26,中文,2
认知无线网络中精准频谱感知技术研究,无线通信技术,认知无线网络中精准频谱感知技术研究_摘要_27,中文,2
认知无线网络中精准频谱感知技术研究,仿真实验,认知无线网络中精准频谱感知技术研究_摘要_28,中文,1
认知无线网络中精准频谱感知技术研究,异构认知无线电网络,认知无线网络中精准频谱感知技术研究_摘要_29,中文,1
认知无线网络中精准频谱感知技术研究,n-out-of-k规则,认知无线网络中精准频谱感知技术研究_摘要_30,中文,1
认知无线网络中精准频谱感知技术研究,感知阈值,认知无线网络中精准频谱感知技术研究_摘要_31,中文,1
认知无线网络中精准频谱感知技术研究,近似封闭表达式,认知无线网络中精准频谱感知技术研究_摘要_32,中文,1
认知无线网络中精准频谱感知技术研究,测度论,认知无线网络中精准频谱感知技术研究_摘要_33,中文,1
认知无线网络中精准频谱感知技术研究,阈值,认知无线网络中精准频谱感知技术研究_摘要_34,中文,1
认知无线网络中精准频谱感知技术研究,数值仿真,认知无线网络中精准频谱感知技术研究_摘要_35,中文,1
认知无线网络中精准频谱感知技术研究,闭式解,认知无线网络中精准频谱感知技术研究_摘要_36,中文,1
认知无线网络中精准频谱感知技术研究,感知能量向量,认知无线网络中精准频谱感知技术研究_摘要_37,中文,1
认知无线网络中精准频谱感知技术研究,二维协方差矩阵数据集,认知无线网络中精准频谱感知技术研究_摘要_38,中文,1
认知无线网络中精准频谱感知技术研究,数据集,认知无线网络中精准频谱感知技术研究_摘要_39,中文,1
认知无线网络中精准频谱感知技术研究,基卷积神经网络,认知无线网络中精准频谱感知技术研究_摘要_40,中文,1
认知无线网络中精准频谱感知技术研究,单节点频谱,认知无线网络中精准频谱感知技术研究_摘要_41,中文,1
认知无线网络中精准频谱感知技术研究,信噪比,认知无线网络中精准频谱感知技术研究_摘要_42,中文,1
认知无线网络中精准频谱感知技术研究,深度卷积,认知无线网络中精准频谱感知技术研究_摘要_43,中文,1
认知无线网络中精准频谱感知技术研究,dcgan,认知无线网络中精准频谱感知技术研究_摘要_44,中文,1
认知无线网络中精准频谱感知技术研究,训练集,认知无线网络中精准频谱感知技术研究_摘要_45,中文,1
认知无线网络中精准频谱感知技术研究,数据短缺,认知无线网络中精准频谱感知技术研究_摘要_46,中文,1
认知无线网络中精准频谱感知技术研究,后二维数据集,认知无线网络中精准频谱感知技术研究_摘要_47,中文,1
