dissertation,name,this_url,language
认知车联网中的异质频谱共享技术研究,认知车联网,认知车联网中的异质频谱共享技术研究_关键词_1,中文
认知车联网中的异质频谱共享技术研究,异质频谱共享,认知车联网中的异质频谱共享技术研究_关键词_2,中文
认知车联网中的异质频谱共享技术研究,干扰多图,认知车联网中的异质频谱共享技术研究_关键词_3,中文
认知车联网中的异质频谱共享技术研究,多业务,认知车联网中的异质频谱共享技术研究_关键词_4,中文
认知车联网中的异质频谱共享技术研究,深度强化学习,认知车联网中的异质频谱共享技术研究_关键词_5,中文
认知车联网中的异质频谱共享技术研究,cognitive vehicular network,认知车联网中的异质频谱共享技术研究_keyword_6,英文
认知车联网中的异质频谱共享技术研究,heterogeneous spectrum sharing,认知车联网中的异质频谱共享技术研究_keyword_7,英文
认知车联网中的异质频谱共享技术研究,interference multi-graph,认知车联网中的异质频谱共享技术研究_keyword_8,英文
认知车联网中的异质频谱共享技术研究,multi-service,认知车联网中的异质频谱共享技术研究_keyword_9,英文
认知车联网中的异质频谱共享技术研究,deep reinforcement learning,认知车联网中的异质频谱共享技术研究_keyword_10,英文
