,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
蜂窝用户,0,0,0,7,24,19,0,50,11.266666666666667
有效容量,0,0,0,10,0,19,1,30,6.083333333333333
数据包,1,0,1,13,25,13,1,54,12.175
qos保障参数,0,0,0,5,0,10,0,15,3.0416666666666665
mgc,0,0,0,3,5,1,0,9,1.825
延时性能,1,0,1,7,5,0,2,16,3.6916666666666664
adits,0,0,0,3,0,1,0,4,0.6166666666666667
caits,0,0,0,3,0,1,0,4,0.6166666666666667
v2v通信,0,0,1,3,18,7,1,30,6.783333333333333
溢出概率,0,0,0,3,0,0,0,3,0.375
通信质量,0,0,0,2,6,0,0,8,1.7
v2v用户,0,0,0,2,1,1,1,5,0.975
有效容量曲线,0,0,0,2,0,0,0,2,0.25
qos,1,0,10,41,2,33,6,93,17.28333333333333
延迟门限,0,0,0,2,2,0,0,4,0.7333333333333334
数据包延时,0,0,0,4,0,2,0,6,0.9833333333333334
算法,0,0,1,6,3,1,1,12,2.083333333333333
毫米波频谱资源,0,0,0,4,7,6,0,17,3.6416666666666666
带宽,1,0,2,3,3,2,0,11,2.833333333333333
延时,2,0,6,17,12,6,2,45,9.708333333333332
通信频段,0,0,0,4,0,0,0,4,0.5
惩罚因子,0,0,0,1,0,0,0,1,0.125
蜂窝用户通信质量,0,0,0,1,0,0,0,1,0.125
累计概率分布曲线,0,0,0,1,0,0,0,1,0.125
sinr,0,0,0,1,5,0,0,6,1.3333333333333333
v2v,0,0,0,6,16,10,0,32,7.033333333333333
sinr曲线,0,0,0,1,0,0,0,1,0.125
si,0,0,0,1,0,0,0,1,0.125
数据到达率,0,0,0,1,0,0,0,1,0.125
异质频谱共享方,0,0,0,1,0,1,0,2,0.3666666666666667
深度强化学习,2,1,2,2,0,7,1,15,6.433333333333334
干扰感知多智能体,2,0,3,2,0,11,1,19,5.525
平均,0,0,0,1,0,1,0,2,0.3666666666666667
wv用户,0,0,0,1,0,0,0,1,0.125
性能,0,0,2,8,5,2,3,20,3.6666666666666665
数据,0,0,1,2,0,9,0,12,2.55
保障参数,0,0,2,3,0,10,0,15,3.0416666666666665
异质频谱,0,0,3,11,4,3,2,23,3.925
有效容量模型,1,0,1,4,0,5,0,11,2.833333333333333
延时溢出概率,1,0,1,1,5,0,0,8,2.458333333333333
自动驾驶信息业务,0,0,0,1,0,0,0,1,0.125
碰撞避免业务,0,0,0,1,0,0,0,1,0.125
延时溢出概率门限,0,0,0,1,0,0,0,1,0.125
cg算法,0,0,0,1,4,0,0,5,1.0916666666666668
异质频谱共享算法,8,0,10,7,18,7,7,57,17.858333333333334
延时保障,0,0,2,3,3,0,0,8,1.35
累计概率密度分布函数曲线,0,0,0,1,0,0,0,1,0.125
辆速度,0,0,0,1,0,0,0,1,0.125
时隙,0,0,0,2,1,11,0,14,3.15
车联网,12,0,42,98,11,16,12,191,38.925
车辆通信链路,2,0,5,0,2,5,1,15,4.558333333333334
多业务,1,1,5,6,0,0,2,15,4.858333333333333
异质频谱共享,0,1,8,10,4,4,3,30,6.908333333333333
频谱共享技术,1,0,9,41,0,0,0,51,7.25
认知车联网,2,1,5,16,0,0,0,24,6.625
网络信令,0,0,1,0,0,0,0,1,0.125
分布式算法,0,0,1,0,0,1,0,2,0.3666666666666667
多业务qos,0,0,3,12,0,6,0,21,3.325
qos保障,1,0,4,5,0,0,1,11,2.3666666666666667
通信业务,1,0,1,1,0,0,0,3,1.25
速率,2,0,5,0,18,5,2,32,8.666666666666668
干扰感知多,0,0,1,1,3,0,1,6,1.2166666666666668
干扰多图,3,1,4,2,18,1,2,31,10.825
异质频谱干扰,2,0,8,8,8,0,3,29,6.658333333333333
异质频谱共享技术,2,0,13,20,6,4,0,45,8.541666666666666
性能指标,0,0,1,8,0,2,0,11,1.6083333333333334
丢包率,0,0,1,7,0,3,0,11,1.725
业务,2,0,2,12,1,16,2,35,8.341666666666667
偏差效用函数,0,0,0,6,0,0,0,6,0.75
保障,0,0,0,5,0,0,0,5,0.625
效用函数,0,0,0,4,0,1,0,5,0.7416666666666667
传输速率,0,0,2,4,6,4,0,16,3.1666666666666665
通信链路,0,0,1,9,2,4,1,17,2.9416666666666664
吞吐量,0,0,0,7,1,2,0,10,1.6
qos偏差效用函数,0,0,0,4,0,1,0,5,0.7416666666666667
等待延时,0,0,0,5,2,0,0,7,1.1083333333333334
传输延时,0,0,0,5,2,0,0,7,1.1083333333333334
奖惩函数,0,0,0,3,0,0,0,3,0.375
期望吞吐量,0,0,0,2,0,0,0,2,0.25
可达吞吐量,0,0,0,2,0,0,0,2,0.25
用户系,0,0,0,2,0,0,0,2,0.25
加权,0,0,0,2,1,1,0,4,0.7333333333333334
qos性能,0,0,0,2,2,3,1,8,1.7
端到端延时,0,0,0,4,2,1,0,7,1.225
缓存,0,0,0,2,5,0,0,7,1.4583333333333333
频谱共享,0,0,0,26,0,0,0,26,3.25
车联网安全业务,0,0,0,3,0,0,0,3,0.375
可靠性,0,0,3,3,3,1,2,12,2.2
车联网业务,0,0,4,8,0,0,0,12,1.5
车载通信,0,0,0,3,0,0,0,3,0.375
链路传输速率,0,0,0,1,0,1,0,2,0.3666666666666667
到达率,0,0,0,1,1,5,0,7,1.575
qos参数,0,0,0,1,0,1,0,2,0.3666666666666667
历经容量,0,0,0,1,0,1,0,2,0.3666666666666667
延迟约束,0,0,0,1,0,1,0,2,0.3666666666666667
非实时数据传输业务,0,0,0,1,0,1,0,2,0.3666666666666667
中断容量,0,0,0,1,0,1,0,2,0.3666666666666667
延迟限制,0,0,0,1,0,1,0,2,0.3666666666666667
实时数据流量传输服务,0,0,0,1,0,0,0,1,0.125
香农容量,0,0,0,1,0,0,0,1,0.125
时延,0,0,0,1,0,0,0,1,0.125
频谱分配算法,0,0,0,2,0,0,0,2,0.25
奖励函数,0,0,0,1,0,0,0,1,0.125
强化学习模型,0,0,2,1,0,1,0,4,0.6166666666666667
