parent_url,parent_name,this_url,name,level
认知车联网中的毫米波频谱感知算法研究_2级_4,车联网7,认知车联网中的毫米波频谱感知算法研究_3级_1,车联网概述7,3
认知车联网中的毫米波频谱感知算法研究_2级_4,车联网7,认知车联网中的毫米波频谱感知算法研究_3级_2,车联网关键技术8,3
认知车联网中的毫米波频谱感知算法研究_2级_5,认知无线电10,认知车联网中的毫米波频谱感知算法研究_3级_3,认知无线电概述10,3
认知车联网中的毫米波频谱感知算法研究_2级_5,认知无线电10,认知车联网中的毫米波频谱感知算法研究_3级_4,认知无线电关键技术11,3
认知车联网中的毫米波频谱感知算法研究_2级_5,认知无线电10,认知车联网中的毫米波频谱感知算法研究_3级_5,频谱感知技术12,3
认知车联网中的毫米波频谱感知算法研究_2级_6,认知车联网19,认知车联网中的毫米波频谱感知算法研究_3级_6,认知车联网概述19,3
认知车联网中的毫米波频谱感知算法研究_2级_6,认知车联网19,认知车联网中的毫米波频谱感知算法研究_3级_7,认知车联网关键技术19,3
认知车联网中的毫米波频谱感知算法研究_2级_7,认知车联网中的频谱感知技术20,认知车联网中的毫米波频谱感知算法研究_3级_8,基于车辆移动性的频谱感知算法21,3
认知车联网中的毫米波频谱感知算法研究_2级_7,认知车联网中的频谱感知技术20,认知车联网中的毫米波频谱感知算法研究_3级_9,基于频谱可用性预测的频谱感知算法21,3
认知车联网中的毫米波频谱感知算法研究_2级_10,系统与信号模型23,认知车联网中的毫米波频谱感知算法研究_3级_10,场景描述24,3
认知车联网中的毫米波频谱感知算法研究_2级_10,系统与信号模型23,认知车联网中的毫米波频谱感知算法研究_3级_11,接收信号模型24,3
认知车联网中的毫米波频谱感知算法研究_2级_11,基于相关性的毫米波频谱感知算法26,认知车联网中的毫米波频谱感知算法研究_3级_12,检验统计量的推导26,3
认知车联网中的毫米波频谱感知算法研究_2级_11,基于相关性的毫米波频谱感知算法26,认知车联网中的毫米波频谱感知算法研究_3级_13,基于多次检验统计量的检测27,3
认知车联网中的毫米波频谱感知算法研究_2级_11,基于相关性的毫米波频谱感知算法26,认知车联网中的毫米波频谱感知算法研究_3级_14,算法性能分析29,3
认知车联网中的毫米波频谱感知算法研究_2级_12,仿真结果与分析30,认知车联网中的毫米波频谱感知算法研究_3级_15,仿真参数的设置30,3
认知车联网中的毫米波频谱感知算法研究_2级_12,仿真结果与分析30,认知车联网中的毫米波频谱感知算法研究_3级_16,仿真结果分析32,3
认知车联网中的毫米波频谱感知算法研究_2级_16,基于最优合作用户与D-S融合的合作频谱感知算法39,认知车联网中的毫米波频谱感知算法研究_3级_17,最优合作用户选择算法39,3
认知车联网中的毫米波频谱感知算法研究_2级_16,基于最优合作用户与D-S融合的合作频谱感知算法39,认知车联网中的毫米波频谱感知算法研究_3级_18,噪声和干扰不确定性下的融合算法42,3
认知车联网中的毫米波频谱感知算法研究_2级_17,仿真结果与分析45,认知车联网中的毫米波频谱感知算法研究_3级_19,仿真参数的设置45,3
认知车联网中的毫米波频谱感知算法研究_2级_17,仿真结果与分析45,认知车联网中的毫米波频谱感知算法研究_3级_20,仿真结果分析46,3
