parent_url,parent_name,this_url,name,level
说话人聚类系统关键技术研究与实现_1级_1,绪论1,说话人聚类系统关键技术研究与实现_2级_1,研究意义与背景1,2
说话人聚类系统关键技术研究与实现_1级_1,绪论1,说话人聚类系统关键技术研究与实现_2级_2,国内外研究现状2,2
说话人聚类系统关键技术研究与实现_1级_1,绪论1,说话人聚类系统关键技术研究与实现_2级_3,论文研究内容4,2
说话人聚类系统关键技术研究与实现_1级_1,绪论1,说话人聚类系统关键技术研究与实现_2级_4,主要创新工作5,2
说话人聚类系统关键技术研究与实现_1级_1,绪论1,说话人聚类系统关键技术研究与实现_2级_5,论文结构5,2
说话人聚类系统关键技术研究与实现_1级_2,语音信号预处理7,说话人聚类系统关键技术研究与实现_2级_6,基于GMM的语音活动检测7,2
说话人聚类系统关键技术研究与实现_1级_2,语音信号预处理7,说话人聚类系统关键技术研究与实现_2级_7,MFCC特征提取9,2
说话人聚类系统关键技术研究与实现_1级_2,语音信号预处理7,说话人聚类系统关键技术研究与实现_2级_8,D-vector说话人矢量特征11,2
说话人聚类系统关键技术研究与实现_1级_3,UIS-RNN说话人聚类14,说话人聚类系统关键技术研究与实现_2级_9,UIS-RNN模型结构14,2
说话人聚类系统关键技术研究与实现_1级_3,UIS-RNN说话人聚类14,说话人聚类系统关键技术研究与实现_2级_10,UIS-RNN的预测解码过程17,2
说话人聚类系统关键技术研究与实现_1级_4,单通道下的说话人数量估计19,说话人聚类系统关键技术研究与实现_2级_11,CountNet说话人数量估计20,2
说话人聚类系统关键技术研究与实现_1级_4,单通道下的说话人数量估计19,说话人聚类系统关键技术研究与实现_2级_12,基于GST模型的说话人数量估计方法22,2
说话人聚类系统关键技术研究与实现_1级_5,说话人聚类系统实现28,说话人聚类系统关键技术研究与实现_2级_13,UIS-RNN的细分聚类方法28,2
说话人聚类系统关键技术研究与实现_1级_5,说话人聚类系统实现28,说话人聚类系统关键技术研究与实现_2级_14,支持overlap的UIS-RNN说话人聚类方法30,2
说话人聚类系统关键技术研究与实现_1级_6,说话人聚类系统结果33,说话人聚类系统关键技术研究与实现_2级_15,实验数据与评估指标33,2
说话人聚类系统关键技术研究与实现_1级_6,说话人聚类系统结果33,说话人聚类系统关键技术研究与实现_2级_16,说话人数量估计结果35,2
说话人聚类系统关键技术研究与实现_1级_6,说话人聚类系统结果33,说话人聚类系统关键技术研究与实现_2级_17,非overlap场景的说话人聚类结果38,2
说话人聚类系统关键技术研究与实现_1级_6,说话人聚类系统结果33,说话人聚类系统关键技术研究与实现_2级_18,Overlap场景下的说话人聚类结果39,2
说话人聚类系统关键技术研究与实现_1级_7,总结与展望41,说话人聚类系统关键技术研究与实现_2级_19,总结41,2
说话人聚类系统关键技术研究与实现_1级_7,总结与展望41,说话人聚类系统关键技术研究与实现_2级_20,未来展望42,2
