dissertation,name,this_url,language,word_frequency
说话人聚类系统关键技术研究与实现,说话人,说话人聚类系统关键技术研究与实现_摘要_1,中文,20
说话人聚类系统关键技术研究与实现,overlap,说话人聚类系统关键技术研究与实现_摘要_2,中文,5
说话人聚类系统关键技术研究与实现,聚类,说话人聚类系统关键技术研究与实现_摘要_3,中文,4
说话人聚类系统关键技术研究与实现,uis-mn,说话人聚类系统关键技术研究与实现_摘要_4,中文,4
说话人聚类系统关键技术研究与实现,语音数据,说话人聚类系统关键技术研究与实现_摘要_5,中文,3
说话人聚类系统关键技术研究与实现,说话人数量,说话人聚类系统关键技术研究与实现_摘要_6,中文,3
说话人聚类系统关键技术研究与实现,变长数据,说话人聚类系统关键技术研究与实现_摘要_7,中文,2
说话人聚类系统关键技术研究与实现,gst模型,说话人聚类系统关键技术研究与实现_摘要_8,中文,2
说话人聚类系统关键技术研究与实现,数量,说话人聚类系统关键技术研究与实现_摘要_9,中文,2
说话人聚类系统关键技术研究与实现,uis-rnn,说话人聚类系统关键技术研究与实现_摘要_10,中文,2
说话人聚类系统关键技术研究与实现,多标签聚类,说话人聚类系统关键技术研究与实现_摘要_11,中文,1
说话人聚类系统关键技术研究与实现,概率,说话人聚类系统关键技术研究与实现_摘要_12,中文,1
说话人聚类系统关键技术研究与实现,聚类结,说话人聚类系统关键技术研究与实现_摘要_13,中文,1
说话人聚类系统关键技术研究与实现,resegment机制,说话人聚类系统关键技术研究与实现_摘要_14,中文,1
说话人聚类系统关键技术研究与实现,baseline系统,说话人聚类系统关键技术研究与实现_摘要_15,中文,1
说话人聚类系统关键技术研究与实现,短语音片段,说话人聚类系统关键技术研究与实现_摘要_16,中文,1
说话人聚类系统关键技术研究与实现,overlap检测,说话人聚类系统关键技术研究与实现_摘要_17,中文,1
说话人聚类系统关键技术研究与实现,crnn,说话人聚类系统关键技术研究与实现_摘要_18,中文,1
说话人聚类系统关键技术研究与实现,mae误差,说话人聚类系统关键技术研究与实现_摘要_19,中文,1
说话人聚类系统关键技术研究与实现,平均mae误差,说话人聚类系统关键技术研究与实现_摘要_20,中文,1
说话人聚类系统关键技术研究与实现,变长语音数据,说话人聚类系统关键技术研究与实现_摘要_21,中文,1
说话人聚类系统关键技术研究与实现,监督,说话人聚类系统关键技术研究与实现_摘要_22,中文,1
说话人聚类系统关键技术研究与实现,类任务,说话人聚类系统关键技术研究与实现_摘要_23,中文,1
说话人聚类系统关键技术研究与实现,转换概率,说话人聚类系统关键技术研究与实现_摘要_24,中文,1
说话人聚类系统关键技术研究与实现,聚类细分,说话人聚类系统关键技术研究与实现_摘要_25,中文,1
说话人聚类系统关键技术研究与实现,resegment,说话人聚类系统关键技术研究与实现_摘要_26,中文,1
说话人聚类系统关键技术研究与实现,估计误差,说话人聚类系统关键技术研究与实现_摘要_27,中文,1
说话人聚类系统关键技术研究与实现,说话人聚类系统,说话人聚类系统关键技术研究与实现_摘要_28,中文,1
说话人聚类系统关键技术研究与实现,说话人聚类,说话人聚类系统关键技术研究与实现_摘要_29,中文,1
说话人聚类系统关键技术研究与实现,语音信号处理,说话人聚类系统关键技术研究与实现_摘要_30,中文,1
说话人聚类系统关键技术研究与实现,说话人聚类算法,说话人聚类系统关键技术研究与实现_摘要_31,中文,1
说话人聚类系统关键技术研究与实现,会议语音记录,说话人聚类系统关键技术研究与实现_摘要_32,中文,1
说话人聚类系统关键技术研究与实现,语音识别,说话人聚类系统关键技术研究与实现_摘要_33,中文,1
说话人聚类系统关键技术研究与实现,预处理,说话人聚类系统关键技术研究与实现_摘要_34,中文,1
说话人聚类系统关键技术研究与实现,声音类别检测,说话人聚类系统关键技术研究与实现_摘要_35,中文,1
说话人聚类系统关键技术研究与实现,说话人识别,说话人聚类系统关键技术研究与实现_摘要_36,中文,1
说话人聚类系统关键技术研究与实现,聚类算法,说话人聚类系统关键技术研究与实现_摘要_37,中文,1
说话人聚类系统关键技术研究与实现,会议记录,说话人聚类系统关键技术研究与实现_摘要_38,中文,1
说话人聚类系统关键技术研究与实现,通话记录,说话人聚类系统关键技术研究与实现_摘要_39,中文,1
说话人聚类系统关键技术研究与实现,语音场景,说话人聚类系统关键技术研究与实现_摘要_40,中文,1
说话人聚类系统关键技术研究与实现,性能,说话人聚类系统关键技术研究与实现_摘要_41,中文,1
说话人聚类系统关键技术研究与实现,鸡尾酒会,说话人聚类系统关键技术研究与实现_摘要_42,中文,1
说话人聚类系统关键技术研究与实现,ker,说话人聚类系统关键技术研究与实现_摘要_43,英文,6
说话人聚类系统关键技术研究与实现,za,说话人聚类系统关键技术研究与实现_摘要_44,英文,4
说话人聚类系统关键技术研究与实现,th,说话人聚类系统关键技术研究与实现_摘要_45,英文,3
说话人聚类系统关键技术研究与实现,speaker,说话人聚类系统关键技术研究与实现_摘要_46,英文,3
说话人聚类系统关键技术研究与实现,sp,说话人聚类系统关键技术研究与实现_摘要_47,英文,2
说话人聚类系统关键技术研究与实现,imate,说话人聚类系统关键技术研究与实现_摘要_48,英文,2
说话人聚类系统关键技术研究与实现,speakerdia,说话人聚类系统关键技术研究与实现_摘要_49,英文,1
说话人聚类系统关键技术研究与实现,he,说话人聚类系统关键技术研究与实现_摘要_50,英文,1
说话人聚类系统关键技术研究与实现,synthesi,说话人聚类系统关键技术研究与实现_摘要_51,英文,1
说话人聚类系统关键技术研究与实现,experimental,说话人聚类系统关键技术研究与实现_摘要_52,英文,1
说话人聚类系统关键技术研究与实现,ape,说话人聚类系统关键技术研究与实现_摘要_53,英文,1
说话人聚类系统关键技术研究与实现,ata,说话人聚类系统关键技术研究与实现_摘要_54,英文,1
说话人聚类系统关键技术研究与实现,thod,说话人聚类系统关键技术研究与实现_摘要_55,英文,1
说话人聚类系统关键技术研究与实现,speakerchange,说话人聚类系统关键技术研究与实现_摘要_56,英文,1
说话人聚类系统关键技术研究与实现,bility,说话人聚类系统关键技术研究与实现_摘要_57,英文,1
说话人聚类系统关键技术研究与实现,imation,说话人聚类系统关键技术研究与实现_摘要_58,英文,1
说话人聚类系统关键技术研究与实现,gmentmecha,说话人聚类系统关键技术研究与实现_摘要_59,英文,1
说话人聚类系统关键技术研究与实现,op,说话人聚类系统关键技术研究与实现_摘要_60,英文,1
说话人聚类系统关键技术研究与实现,ps,说话人聚类系统关键技术研究与实现_摘要_61,英文,1
说话人聚类系统关键技术研究与实现,baselines,说话人聚类系统关键技术研究与实现_摘要_62,英文,1
说话人聚类系统关键技术研究与实现,ys,说话人聚类系统关键技术研究与实现_摘要_63,英文,1
说话人聚类系统关键技术研究与实现,mo,说话人聚类系统关键技术研究与实现_摘要_64,英文,1
说话人聚类系统关键技术研究与实现,inthetask,说话人聚类系统关键技术研究与实现_摘要_65,英文,1
说话人聚类系统关键技术研究与实现,estimating,说话人聚类系统关键技术研究与实现_摘要_66,英文,1
说话人聚类系统关键技术研究与实现,to,说话人聚类系统关键技术研究与实现_摘要_67,英文,1
说话人聚类系统关键技术研究与实现,contribution,说话人聚类系统关键技术研究与实现_摘要_68,英文,1
说话人聚类系统关键技术研究与实现,is,说话人聚类系统关键技术研究与实现_摘要_69,英文,1
说话人聚类系统关键技术研究与实现,per,说话人聚类系统关键技术研究与实现_摘要_70,英文,1
说话人聚类系统关键技术研究与实现,se,说话人聚类系统关键技术研究与实现_摘要_71,英文,1
说话人聚类系统关键技术研究与实现,amethodo,说话人聚类系统关键技术研究与实现_摘要_72,英文,1
说话人聚类系统关键技术研究与实现,input,说话人聚类系统关键技术研究与实现_摘要_73,英文,1
说话人聚类系统关键技术研究与实现,variable,说话人聚类系统关键技术研究与实现_摘要_74,英文,1
说话人聚类系统关键技术研究与实现,proposesto,说话人聚类系统关键技术研究与实现_摘要_75,英文,1
说话人聚类系统关键技术研究与实现,timation,说话人聚类系统关键技术研究与实现_摘要_76,英文,1
说话人聚类系统关键技术研究与实现,improvethedecisionmethod,说话人聚类系统关键技术研究与实现_摘要_77,英文,1
说话人聚类系统关键技术研究与实现,inc,说话人聚类系统关键技术研究与实现_摘要_78,英文,1
说话人聚类系统关键技术研究与实现,setheclustering,说话人聚类系统关键技术研究与实现_摘要_79,英文,1
说话人聚类系统关键技术研究与实现,segmentation,说话人聚类系统关键技术研究与实现_摘要_80,英文,1
说话人聚类系统关键技术研究与实现,resegment,说话人聚类系统关键技术研究与实现_摘要_81,英文,1
说话人聚类系统关键技术研究与实现,est,说话人聚类系统关键技术研究与实现_摘要_82,英文,1
说话人聚类系统关键技术研究与实现,tion,说话人聚类系统关键技术研究与实现_摘要_83,英文,1
说话人聚类系统关键技术研究与实现,basedonuis-mn,说话人聚类系统关键技术研究与实现_摘要_84,英文,1
说话人聚类系统关键技术研究与实现,ri,说话人聚类系统关键技术研究与实现_摘要_85,英文,1
说话人聚类系统关键技术研究与实现,nology,说话人聚类系统关键技术研究与实现_摘要_86,英文,1
