parent_url,parent_name,this_url,name,level
通用型无参考的图像质量评价算法的研究_1级_1,绪论1,通用型无参考的图像质量评价算法的研究_2级_1,,2
通用型无参考的图像质量评价算法的研究_1级_1,绪论1,通用型无参考的图像质量评价算法的研究_2级_2,研究现状2,2
通用型无参考的图像质量评价算法的研究_1级_1,绪论1,通用型无参考的图像质量评价算法的研究_2级_3,论文研究内容及章节安排14,2
通用型无参考的图像质量评价算法的研究_1级_2,通用型无参考图像质量评价算法的研究15,通用型无参考的图像质量评价算法的研究_2级_4,引言15,2
通用型无参考的图像质量评价算法的研究_1级_2,通用型无参考图像质量评价算法的研究15,通用型无参考的图像质量评价算法的研究_2级_5,自然场景的统计特性15,2
通用型无参考的图像质量评价算法的研究_1级_2,通用型无参考图像质量评价算法的研究15,通用型无参考的图像质量评价算法的研究_2级_6,自然场景统计特征的提取17,2
通用型无参考的图像质量评价算法的研究_1级_2,通用型无参考图像质量评价算法的研究15,通用型无参考的图像质量评价算法的研究_2级_7,多尺度几何分析31,2
通用型无参考的图像质量评价算法的研究_1级_3,Contourlet域的自然场景统计特性35,通用型无参考的图像质量评价算法的研究_2级_8,Contourlet变换理论基础35,2
通用型无参考的图像质量评价算法的研究_1级_3,Contourlet域的自然场景统计特性35,通用型无参考的图像质量评价算法的研究_2级_9,Contourlet域提取的特征36,2
通用型无参考的图像质量评价算法的研究_1级_4,通用型无参考的图像质量评价算法及性能分析43,通用型无参考的图像质量评价算法的研究_2级_10,引言43,2
通用型无参考的图像质量评价算法的研究_1级_4,通用型无参考的图像质量评价算法及性能分析43,通用型无参考的图像质量评价算法的研究_2级_11,基于MVG模型的全局框架实现的图像质量评价算法44,2
通用型无参考的图像质量评价算法的研究_1级_4,通用型无参考的图像质量评价算法及性能分析43,通用型无参考的图像质量评价算法的研究_2级_12,基于两阶段框架实现的图像质量评价算法49,2
通用型无参考的图像质量评价算法的研究_1级_4,通用型无参考的图像质量评价算法及性能分析43,通用型无参考的图像质量评价算法的研究_2级_13,本章小结53,2
