,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
自然图像,0,0,6,38,6,8,0,58,8.883333333333333
高斯分布,0,0,0,6,0,0,0,6,0.75
非高斯性,0,0,0,4,0,0,0,4,0.5
非高斯模型,0,0,0,1,0,0,0,1,0.125
自然图像特性,0,0,0,1,0,0,0,1,0.125
高斯性特点,0,0,0,1,0,0,0,1,0.125
重拖尾,0,0,0,1,0,0,0,1,0.125
突峰值,0,0,0,1,0,0,0,1,0.125
小波系数,0,0,3,38,0,0,0,41,5.125
轮廓,0,0,1,5,5,0,0,11,1.9583333333333333
边缘,0,0,1,12,2,0,0,15,2.1083333333333334
图像,1,0,55,69,24,22,4,175,28.583333333333336
傅立叶反变换,0,0,0,1,0,0,0,1,0.125
白化,0,0,0,1,0,0,0,1,0.125
高斯白噪声,0,0,0,1,1,0,0,2,0.3666666666666667
sian模型,0,0,0,1,0,0,0,1,0.125
ga,0,0,0,1,0,0,0,1,0.125
平稳二阶性,0,0,0,1,0,0,0,1,0.125
随机过程,0,0,0,1,0,0,0,1,0.125
失真,1,0,24,31,15,15,5,91,16.333333333333336
失真类型,0,0,6,11,2,14,1,34,6.233333333333333
失真图像,0,0,17,11,0,6,1,35,5.191666666666666
性能,0,0,9,4,0,24,3,40,8.15
brisque,0,0,4,0,0,3,0,7,1.225
特征,0,0,9,8,4,3,2,26,4.3
质量评价,0,0,7,2,1,0,2,12,1.85
概率,0,0,4,1,0,2,1,8,1.35
统计特性,0,1,5,11,0,0,0,17,4.0
算法,0,0,5,1,0,11,2,19,3.8916666666666666
mvg模型,0,0,2,0,0,16,0,18,4.116666666666667
双层框架,0,0,2,0,0,0,0,2,0.25
无参考图像质量评价算法,2,0,6,9,2,2,0,21,4.841666666666667
尺度,0,0,3,22,7,0,0,32,4.816666666666666
qi,0,0,2,0,0,0,0,2,0.25
图像质量评价,1,0,24,7,0,1,3,36,5.841666666666667
视觉特性,1,0,4,0,3,0,0,8,2.225
自然场景,0,1,3,8,0,1,0,13,3.6166666666666667
图像统计模型,0,0,1,2,0,0,0,3,0.375
频域,0,0,1,3,0,0,0,4,0.5
空域,0,0,1,5,0,0,0,6,0.75
brisque算法,0,0,1,0,0,3,0,4,0.85
协方差矩阵,0,0,1,0,0,2,0,3,0.6083333333333334
均值,0,0,1,7,4,1,0,13,2.208333333333333
自然场景统计特征,0,0,3,3,2,3,1,12,2.2
质量评价分值,0,0,2,0,0,2,1,5,0.975
参数,0,0,2,1,1,6,0,10,2.0666666666666664
数学统计模型,0,0,1,0,0,0,0,1,0.125
18维图像特征,0,0,1,0,0,0,0,1,0.125
niqe,0,0,1,0,0,0,0,1,0.125
que,0,0,1,0,0,0,0,1,0.125
br,0,0,1,0,0,0,0,1,0.125
ssim算法,0,0,7,0,0,0,0,7,0.875
参考评价,0,0,1,0,0,0,0,1,0.125
无参考评价算法,0,0,2,0,0,0,0,2,0.25
提取特征,0,0,1,0,1,0,0,2,0.3666666666666667
多尺度,0,0,2,0,0,0,0,2,0.25
方向信息,0,0,1,0,3,0,0,4,0.85
标准化亮度,0,0,1,0,0,0,0,1,0.125
失真程度,0,0,4,4,1,3,0,12,1.9666666666666668
距离,0,0,1,1,0,2,0,4,0.7333333333333334
自然图像模型,0,0,1,0,0,1,0,2,0.3666666666666667
标准化亮度信号,0,0,1,0,0,0,0,1,0.125
测试集,0,0,1,0,0,0,0,1,0.125
本质特征,0,0,1,0,0,0,0,1,0.125
型算法,0,0,1,0,0,0,0,1,0.125
提取,0,0,1,2,1,1,0,5,0.8583333333333334
小波变换,0,0,2,7,5,0,0,14,2.333333333333333
daubechies,0,0,1,0,0,0,0,1,0.125
广义高斯模型,0,0,1,0,1,0,0,2,0.3666666666666667
ggd,0,0,1,4,0,0,0,5,0.625
小波子带系数,0,0,1,0,0,0,0,1,0.125
小波分解,0,0,2,8,0,0,0,10,1.25
计算框架,0,0,1,0,0,0,0,1,0.125
brisque1281,0,0,1,0,0,0,0,1,0.125
in,0,0,1,0,0,0,0,1,0.125
人眼,1,0,10,1,1,0,0,13,2.6166666666666667
特性,0,0,2,5,1,1,0,9,1.3583333333333334
曲线,0,0,1,3,8,2,0,14,2.9166666666666665
高频分量,0,0,0,0,8,0,0,8,1.9333333333333333
contourlet系数,0,0,1,3,6,0,0,10,1.95
模糊失真,0,0,0,1,1,1,0,3,0.6083333333333334
尖峰,0,0,0,0,1,0,0,1,0.24166666666666667
高频,0,0,0,2,1,0,0,3,0.4916666666666667
加性高斯白噪声,0,0,0,0,1,0,0,1,0.24166666666666667
非高斯特征,0,0,0,0,1,0,0,1,0.24166666666666667
图像纹理,0,0,0,0,1,0,0,1,0.24166666666666667
长尾分布,0,0,0,0,1,0,0,1,0.24166666666666667
尺度参数,0,0,0,0,1,0,0,1,0.24166666666666667
扩展长度,0,0,0,0,1,0,0,1,0.24166666666666667
a控制分布,0,0,0,0,1,0,0,1,0.24166666666666667
ze,0,0,0,0,1,0,0,1,0.24166666666666667
asymmetricgenera,0,0,0,0,1,0,0,1,0.24166666666666667
aggd,0,0,0,1,1,0,0,2,0.3666666666666667
非对称型,0,0,0,0,1,0,0,1,0.24166666666666667
稀疏性,0,0,0,0,1,0,0,1,0.24166666666666667
contourlet变换,1,0,2,5,8,0,0,16,3.8083333333333336
零值,0,0,0,0,1,0,0,1,0.24166666666666667
幅值,0,0,0,0,1,0,0,1,0.24166666666666667
非高斯特性,0,0,0,2,1,0,0,3,0.4916666666666667
拖尾,0,0,0,0,1,0,0,1,0.24166666666666667
