parent_url,parent_name,this_url,name,level
非线性耦合振子系统中的Koopman分析_1级_1,绪论,非线性耦合振子系统中的Koopman分析_2级_1,研究背景,2
非线性耦合振子系统中的Koopman分析_1级_1,绪论,非线性耦合振子系统中的Koopman分析_2级_2,研究方向及意义,2
非线性耦合振子系统中的Koopman分析_1级_1,绪论,非线性耦合振子系统中的Koopman分析_2级_3,论文内容及结构安排,2
非线性耦合振子系统中的Koopman分析_1级_2,KOOPMAN算符,非线性耦合振子系统中的Koopman分析_2级_4,KOOPMAN算符的定义,2
非线性耦合振子系统中的Koopman分析_1级_2,KOOPMAN算符,非线性耦合振子系统中的Koopman分析_2级_5,KOOPMAN算符的谱性质,2
非线性耦合振子系统中的Koopman分析_1级_2,KOOPMAN算符,非线性耦合振子系统中的Koopman分析_2级_6,KOOPMAN模式,2
非线性耦合振子系统中的Koopman分析_1级_2,KOOPMAN算符,非线性耦合振子系统中的Koopman分析_2级_7,DMD算法,2
非线性耦合振子系统中的Koopman分析_1级_2,KOOPMAN算符,非线性耦合振子系统中的Koopman分析_2级_8,KOOPMAN频谱和模式的算法实现,2
非线性耦合振子系统中的Koopman分析_1级_2,KOOPMAN算符,非线性耦合振子系统中的Koopman分析_2级_9,本章小结,2
非线性耦合振子系统中的Koopman分析_1级_3,非线性耦合振子在哈密顿系统中的应用,非线性耦合振子系统中的Koopman分析_2级_10,耦合振子模型,2
非线性耦合振子系统中的Koopman分析_1级_3,非线性耦合振子在哈密顿系统中的应用,非线性耦合振子系统中的Koopman分析_2级_11,二自由度耦合振子动力学,2
非线性耦合振子系统中的Koopman分析_1级_3,非线性耦合振子在哈密顿系统中的应用,非线性耦合振子系统中的Koopman分析_2级_12,在二自由度振子中的应用,2
非线性耦合振子系统中的Koopman分析_1级_3,非线性耦合振子在哈密顿系统中的应用,非线性耦合振子系统中的Koopman分析_2级_13,部分相空间中的非线性动力学,2
非线性耦合振子系统中的Koopman分析_1级_3,非线性耦合振子在哈密顿系统中的应用,非线性耦合振子系统中的Koopman分析_2级_14,本章小结,2
非线性耦合振子系统中的Koopman分析_1级_4,总结与展望,非线性耦合振子系统中的Koopman分析_2级_15,总结,2
非线性耦合振子系统中的Koopman分析_1级_4,总结与展望,非线性耦合振子系统中的Koopman分析_2级_16,展望,2
