,摘要,关键词,第一章,第二章,第三章,第四章,总词频,加权得分
线性系统,1,0,17,1,1,0,20,3.6125
非线性系统,2,0,35,8,0,0,45,7.375
信号,0,0,4,0,0,0,4,0.5
era,0,0,3,0,0,0,3,0.375
pod,1,0,3,1,0,0,5,1.5
能量,0,0,5,2,9,0,16,4.137499999999999
平衡截断,0,0,3,0,0,0,3,0.375
频率,0,0,10,2,68,3,83,27.2375
动力学,3,0,13,8,4,1,29,7.4375
数据,0,0,4,6,0,0,10,1.25
非线性,0,0,10,3,3,0,16,2.7125
维度,1,0,4,1,3,0,9,2.7125
数据驱动,1,0,10,0,0,0,11,2.25
线性降维,0,0,2,0,0,0,2,0.25
参数,0,0,10,0,2,0,12,1.975
平衡pod,0,0,2,1,0,0,3,0.375
内积,0,0,2,0,0,0,2,0.25
降解模式,0,0,2,0,0,0,2,0.25
pod模式,0,0,2,0,0,0,2,0.25
特征系统,0,0,2,0,0,0,2,0.25
基函数,0,0,2,14,0,0,16,2.0
频域,0,0,2,0,0,0,2,0.25
傅里叶分解,0,0,2,0,0,0,2,0.25
函数,0,0,3,10,0,0,13,1.625
状态空间,0,0,2,1,0,0,3,0.375
模型,0,0,2,0,0,0,2,0.25
模式约化,0,0,3,0,0,0,3,0.375
控制系统,0,0,4,0,0,0,4,0.5
非线性模式,0,0,2,0,0,0,2,0.25
外推失效,0,0,1,0,0,0,1,0.125
定性,1,0,3,0,0,0,4,1.375
系统,1,0,12,2,1,0,16,3.1125
叠加原则,0,0,1,0,0,0,1,0.125
非线性项,0,0,1,0,2,0,3,0.85
流形结构,0,0,1,0,0,0,1,0.125
轨道,2,0,6,4,104,0,116,40.949999999999996
线性方,0,0,1,0,0,0,1,0.125
空间,0,0,5,5,0,0,10,1.25
主成分,0,0,1,0,0,0,1,0.125
线性维度约化,0,0,1,0,0,0,1,0.125
投影,0,0,1,0,9,0,10,3.3874999999999997
非线性动力学,0,0,5,0,1,0,6,0.9875
利用,0,0,1,0,0,0,1,0.125
实验数据,0,0,1,0,0,0,1,0.125
伴随模拟,0,0,1,0,0,0,1,0.125
算法,0,0,1,1,0,0,2,0.25
平衡模式,0,0,1,0,0,0,1,0.125
高维非正则系统,0,0,1,0,0,0,1,0.125
pod方,0,0,1,0,0,0,1,0.125
物理能量,0,0,1,0,0,0,1,0.125
度量,0,0,1,0,0,0,1,0.125
数据集,0,0,1,2,0,0,3,0.375
快照数量,0,0,1,0,0,0,1,0.125
降阶模,0,0,1,0,0,0,1,0.125
模拟快照,0,0,1,0,0,0,1,0.125
伴随系统,0,0,1,0,0,0,1,0.125
原始系统,0,0,1,0,0,0,1,0.125
伴随模式,0,0,1,0,0,0,1,0.125
直接模式,0,0,1,0,0,0,1,0.125
banlancedpod,0,0,1,0,0,0,1,0.125
平衡本征正交分解,0,0,1,0,0,0,1,0.125
最小误差,0,0,1,0,0,0,1,0.125
先验误差,0,0,1,0,0,0,1,0.125
平衡截断图,0,0,1,0,0,0,1,0.125
控制理论,0,0,1,0,0,0,1,0.125
时间,0,0,10,0,2,0,12,1.975
动力学性质,1,0,3,1,3,0,8,2.5875
拓扑结构,0,0,6,0,4,0,10,2.2
低能量,0,0,1,0,0,0,1,0.125
捕捉效率,0,0,1,0,0,0,1,0.125
低能量模式,0,0,1,0,0,0,1,0.125
podo,0,0,1,0,0,0,1,0.125
zationalgorithm,0,0,1,0,0,0,1,0.125
eigensystem,0,0,1,0,0,0,1,0.125
算法闭,0,0,1,0,0,0,1,0.125
balancedtruncation,0,0,1,0,0,0,1,0.125
decomposition,0,0,1,0,0,0,1,0.125
