parent_url,parent_name,this_url,name,level
面向5G的空间耦合技术研究_1级_1,绪论1,面向5G的空间耦合技术研究_2级_1,通信系统模型及5G通信系统介绍1,2
面向5G的空间耦合技术研究_1级_1,绪论1,面向5G的空间耦合技术研究_2级_2,常用信道介绍5,2
面向5G的空间耦合技术研究_1级_1,绪论1,面向5G的空间耦合技术研究_2级_3,信道编码技术及其发展6,2
面向5G的空间耦合技术研究_1级_1,绪论1,面向5G的空间耦合技术研究_2级_4,本论文研究内容及其章节安排7,2
面向5G的空间耦合技术研究_1级_2,传统空间耦合LDPC码研究9,面向5G的空间耦合技术研究_2级_5,传统空间耦合LDPC码及其构造方法10,2
面向5G的空间耦合技术研究_1级_2,传统空间耦合LDPC码研究9,面向5G的空间耦合技术研究_2级_6,传统空间耦合LDPC码的构造方式13,2
面向5G的空间耦合技术研究_1级_2,传统空间耦合LDPC码研究9,面向5G的空间耦合技术研究_2级_7,传统空间耦合LDPC码编码14,2
面向5G的空间耦合技术研究_1级_2,传统空间耦合LDPC码研究9,面向5G的空间耦合技术研究_2级_8,传统空间耦合LDPC码终止方案17,2
面向5G的空间耦合技术研究_1级_2,传统空间耦合LDPC码研究9,面向5G的空间耦合技术研究_2级_9,传统空间耦合LDPC码译码19,2
面向5G的空间耦合技术研究_1级_2,传统空间耦合LDPC码研究9,面向5G的空间耦合技术研究_2级_10,空间耦合LDPC码性能分析工具21,2
面向5G的空间耦合技术研究_1级_2,传统空间耦合LDPC码研究9,面向5G的空间耦合技术研究_2级_11,本章总结22,2
面向5G的空间耦合技术研究_1级_3,任意速率可迭代编码空间耦合LDPC码方案研究23,面向5G的空间耦合技术研究_2级_12,任意速率可迭代编码空间耦合LDPC码构造方法23,2
面向5G的空间耦合技术研究_1级_3,任意速率可迭代编码空间耦合LDPC码方案研究23,面向5G的空间耦合技术研究_2级_13,任意速率可迭代编码空间耦合LDPC码编码算法27,2
面向5G的空间耦合技术研究_1级_3,任意速率可迭代编码空间耦合LDPC码方案研究23,面向5G的空间耦合技术研究_2级_14,任意速率可迭代编码空间耦合LDPC码性能分析29,2
面向5G的空间耦合技术研究_1级_3,任意速率可迭代编码空间耦合LDPC码方案研究23,面向5G的空间耦合技术研究_2级_15,仿真结果及其分析31,2
面向5G的空间耦合技术研究_1级_3,任意速率可迭代编码空间耦合LDPC码方案研究23,面向5G的空间耦合技术研究_2级_16,总结32,2
面向5G的空间耦合技术研究_1级_4,有限码长空间耦合LDPC码终止方案研究33,面向5G的空间耦合技术研究_2级_17,具有RA尾部节点终止结构的空间耦合LDPC码34,2
面向5G的空间耦合技术研究_1级_4,有限码长空间耦合LDPC码终止方案研究33,面向5G的空间耦合技术研究_2级_18,具有RA尾部节点终止结构的空间耦合LDPC码编码36,2
面向5G的空间耦合技术研究_1级_4,有限码长空间耦合LDPC码终止方案研究33,面向5G的空间耦合技术研究_2级_19,具有RA尾部节点终止结构的空闾耦合LDPC码性能分析38,2
面向5G的空间耦合技术研究_1级_4,有限码长空间耦合LDPC码终止方案研究33,面向5G的空间耦合技术研究_2级_20,仿真结果及其分析39,2
面向5G的空间耦合技术研究_1级_4,有限码长空间耦合LDPC码终止方案研究33,面向5G的空间耦合技术研究_2级_21,总结41,2
面向5G的空间耦合技术研究_1级_5,总结与展望42,面向5G的空间耦合技术研究_2级_22,本文的主要工作和贡献42,2
面向5G的空间耦合技术研究_1级_5,总结与展望42,面向5G的空间耦合技术研究_2级_23,下一步的研究方向43,2
