dissertation,name,this_url,language,word_frequency
面向图文检索的多模态学习算法研究,文本,面向图文检索的多模态学习算法研究_摘要_1,中文,11
面向图文检索的多模态学习算法研究,图片,面向图文检索的多模态学习算法研究_摘要_2,中文,6
面向图文检索的多模态学习算法研究,图像,面向图文检索的多模态学习算法研究_摘要_3,中文,5
面向图文检索的多模态学习算法研究,多模态模型,面向图文检索的多模态学习算法研究_摘要_4,中文,5
面向图文检索的多模态学习算法研究,图像特征,面向图文检索的多模态学习算法研究_摘要_5,中文,3
面向图文检索的多模态学习算法研究,数据,面向图文检索的多模态学习算法研究_摘要_6,中文,3
面向图文检索的多模态学习算法研究,特征向量,面向图文检索的多模态学习算法研究_摘要_7,中文,2
面向图文检索的多模态学习算法研究,单词特征,面向图文检索的多模态学习算法研究_摘要_8,中文,2
面向图文检索的多模态学习算法研究,排列损失函数,面向图文检索的多模态学习算法研究_摘要_9,中文,2
面向图文检索的多模态学习算法研究,单词,面向图文检索的多模态学习算法研究_摘要_10,中文,2
面向图文检索的多模态学习算法研究,依赖树,面向图文检索的多模态学习算法研究_摘要_11,中文,2
面向图文检索的多模态学习算法研究,重复软最大化模型,面向图文检索的多模态学习算法研究_摘要_12,中文,2
面向图文检索的多模态学习算法研究,检索速度,面向图文检索的多模态学习算法研究_摘要_13,中文,2
面向图文检索的多模态学习算法研究,输入模型,面向图文检索的多模态学习算法研究_摘要_14,中文,2
面向图文检索的多模态学习算法研究,检索精度,面向图文检索的多模态学习算法研究_摘要_15,中文,2
面向图文检索的多模态学习算法研究,图像数据,面向图文检索的多模态学习算法研究_摘要_16,中文,2
面向图文检索的多模态学习算法研究,内容,面向图文检索的多模态学习算法研究_摘要_17,中文,2
面向图文检索的多模态学习算法研究,粗粒度,面向图文检索的多模态学习算法研究_摘要_18,中文,1
面向图文检索的多模态学习算法研究,细粒度,面向图文检索的多模态学习算法研究_摘要_19,中文,1
面向图文检索的多模态学习算法研究,物体,面向图文检索的多模态学习算法研究_摘要_20,中文,1
面向图文检索的多模态学习算法研究,动作,面向图文检索的多模态学习算法研究_摘要_21,中文,1
