,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
layer,0,0,0,0,0,18,0,0,18,3.2624999999999997
数据,3,0,6,3,0,16,1,2,31,7.56875
内存,0,0,0,0,0,9,0,0,9,1.6312499999999999
显存,0,0,0,0,0,7,0,0,7,1.26875
caffe,0,0,0,0,0,10,1,0,11,1.99375
网络,1,0,1,3,0,6,0,0,11,2.5875
数据操作,0,0,0,0,0,4,0,0,4,0.725
syncedmemory,0,0,0,0,0,3,0,0,3,0.54375
losslayer,0,0,0,0,0,3,0,0,3,0.54375
配置文件,0,0,0,0,0,6,0,0,6,1.0875
sovler,0,0,0,0,0,2,0,0,2,0.3625
bottom,0,0,0,0,0,2,0,0,2,0.3625
后向传播,0,0,0,2,5,5,0,0,12,2.0625
前向传播,0,0,0,3,3,5,0,0,11,1.825
blob,0,0,0,0,0,2,0,0,2,0.3625
指针,0,0,0,0,0,2,0,0,2,0.3625
普通layer,0,0,0,0,0,2,0,0,2,0.3625
visionlayer,0,0,0,0,0,2,0,0,2,0.3625
datalayer,0,0,0,0,0,2,0,0,2,0.3625
参数,0,0,4,16,6,13,3,1,43,6.66875
protocolbuffer语言,0,0,0,0,0,1,0,0,1,0.18125
初始,0,0,0,1,0,1,2,0,4,0.66875
测试,0,0,0,0,0,1,0,0,1,0.18125
训练net,0,0,0,0,0,1,0,0,1,0.18125
学习率,0,0,0,0,0,1,7,0,8,1.45
迭代次数,0,0,0,0,0,1,0,0,1,0.18125
执行顺序,0,0,0,0,0,1,0,0,1,0.18125
layer参数,0,0,0,0,0,1,0,0,1,0.18125
数目,0,0,0,0,0,1,0,0,1,0.18125
输出,0,0,0,0,0,1,0,0,1,0.18125
输入,0,0,0,0,0,1,0,0,1,0.18125
后向传播数据,0,0,0,0,0,1,0,0,1,0.18125
前向传播数据,0,0,0,0,0,1,0,0,1,0.18125
blob类,0,0,0,0,0,1,0,0,1,0.18125
layer操作,0,0,0,0,0,1,0,0,1,0.18125
数据存取,0,0,0,0,0,1,0,0,1,0.18125
cpu,0,0,0,0,0,1,0,0,1,0.18125
同步,0,0,0,0,0,1,0,0,1,0.18125
可变动显存数据,0,0,0,0,0,1,0,0,1,0.18125
数据数据,0,0,0,0,0,1,0,0,1,0.18125
存放,0,0,0,0,0,1,0,0,1,0.18125
数据存取操作,0,0,0,0,0,1,0,0,1,0.18125
syncedmemory类,0,0,0,0,0,1,0,0,1,0.18125
存取数据,0,0,0,0,0,1,0,0,1,0.18125
caflfe,1,0,0,0,0,1,0,0,2,1.18125
数据传输,0,0,0,0,0,1,0,0,1,0.18125
backward函数,0,0,0,0,0,1,0,0,1,0.18125
forward,0,0,0,0,0,1,0,0,1,0.18125
resize,0,0,0,0,0,1,0,0,1,0.18125
transport,0,0,0,0,0,1,0,0,1,0.18125
reshape,0,0,0,0,0,2,0,0,2,0.3625
排列损失函数,2,0,0,0,0,5,0,1,8,3.0875
损失函数,0,0,0,1,1,14,2,1,19,3.3874999999999997
训练网络,0,0,0,0,0,1,0,0,1,0.18125
对比度,0,0,0,0,0,1,0,0,1,0.18125
局部,0,0,0,0,0,1,0,0,1,0.18125
池化,0,0,0,1,0,1,0,0,2,0.30625
卷积,0,0,0,2,0,1,0,0,3,0.43125
标签,0,0,0,0,0,1,5,0,6,1.0875
memorylayer,0,0,0,0,0,1,0,0,1,0.18125
数据库,1,0,2,2,0,3,3,1,12,2.76875
读取,0,0,0,0,0,1,0,0,1,0.18125
深度学习框架,1,0,1,0,0,1,0,0,3,1.30625
细粒度多模态模型,0,0,1,0,0,5,4,2,12,2.11875
fe,0,0,0,0,0,1,0,0,1,0.18125
ca,0,0,0,0,0,2,0,0,2,0.3625
训练速度,0,0,0,0,0,1,0,0,1,0.18125
隐藏层,0,0,1,27,5,2,1,0,36,4.95
长度,1,0,1,2,0,4,0,0,8,2.1
句子,1,0,1,0,2,10,1,0,15,3.4812499999999997
深层网络,0,0,1,0,0,1,0,0,2,0.30625
状态传递序列,0,0,0,0,3,2,0,0,5,0.90625
序列,0,0,0,2,1,3,0,0,6,0.975
隐藏状态,0,0,0,0,4,3,0,0,7,1.26875
双向循环神经网络,0,0,3,0,7,6,2,1,19,3.275
3cafie,0,0,0,0,0,1,0,0,1,0.18125
蒙版,0,0,0,0,0,3,0,0,3,0.54375
无用数据,0,0,0,0,0,2,0,0,2,0.3625
序列长度,0,0,0,0,0,5,0,0,5,0.90625
细粒度文本特征,1,0,0,0,0,1,0,0,2,1.18125
多模态模型,5,0,20,5,2,11,5,8,56,12.837499999999999
concat层,0,0,0,0,0,1,0,0,1,0.18125
底层,0,0,2,1,0,1,0,0,4,0.55625
虚线,0,0,0,0,0,1,0,0,1,0.18125
slice层,0,0,0,0,0,1,0,0,1,0.18125
batch,0,0,0,0,0,2,0,0,2,0.3625
输入特征,0,0,0,0,0,1,0,0,1,0.18125
配置,0,0,0,0,0,1,0,0,1,0.18125
代码,0,0,0,0,0,1,0,0,1,0.18125
代码库,0,0,0,0,0,1,0,0,1,0.18125
lbuffer,0,0,0,0,0,1,0,0,1,0.18125
单词特征,2,0,1,0,4,1,1,0,9,3.2125
特征维度,0,0,0,0,0,2,0,0,2,0.3625
维度,0,0,0,2,1,3,2,0,8,1.3375
蒙版向量,0,0,0,0,0,1,0,0,1,0.18125
固定,0,0,0,0,0,1,0,0,1,0.18125
单词,2,0,6,7,12,7,2,1,37,7.6125
偏置项,0,0,0,3,0,1,0,0,4,0.55625
神经网络,0,0,1,9,0,1,0,0,11,1.43125
深度网络,0,0,0,0,0,1,0,0,1,0.18125
