dissertation,name,this_url,language
面向异构SDN网络虚拟化的资源映射技术研究,异构SDN网络,面向异构SDN网络虚拟化的资源映射技术研究_关键词_1,中文
面向异构SDN网络虚拟化的资源映射技术研究,网络虚拟化,面向异构SDN网络虚拟化的资源映射技术研究_关键词_2,中文
面向异构SDN网络虚拟化的资源映射技术研究,虚拟网络映射,面向异构SDN网络虚拟化的资源映射技术研究_关键词_3,中文
面向异构SDN网络虚拟化的资源映射技术研究,异构切换,面向异构SDN网络虚拟化的资源映射技术研究_关键词_4,中文
面向异构SDN网络虚拟化的资源映射技术研究,蚁群优化算法,面向异构SDN网络虚拟化的资源映射技术研究_关键词_5,中文
面向异构SDN网络虚拟化的资源映射技术研究,heterogeneous software defined networks,面向异构SDN网络虚拟化的资源映射技术研究_keyword_6,英文
面向异构SDN网络虚拟化的资源映射技术研究,network virtualization,面向异构SDN网络虚拟化的资源映射技术研究_keyword_7,英文
面向异构SDN网络虚拟化的资源映射技术研究,virtual network mapping,面向异构SDN网络虚拟化的资源映射技术研究_keyword_8,英文
面向异构SDN网络虚拟化的资源映射技术研究,network switching,面向异构SDN网络虚拟化的资源映射技术研究_keyword_9,英文
面向异构SDN网络虚拟化的资源映射技术研究,ant colony optimization,面向异构SDN网络虚拟化的资源映射技术研究_keyword_10,英文
