,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
精度,3,0,6,4,25,6,0,6,50,10.95625
数据集,2,0,5,16,17,9,4,2,55,10.425
计算量,4,0,9,5,24,0,1,2,45,10.64375
视频样本,0,0,0,0,9,0,0,0,9,1.6312499999999999
视频,4,0,21,0,8,1,18,3,55,12.0625
测试集,0,0,0,4,5,0,0,0,9,1.40625
somethingsomethingv2,0,0,0,0,5,0,0,1,6,1.0875
et,0,0,0,0,4,1,0,0,5,0.90625
图像,1,0,11,7,11,1,2,1,34,5.96875
采样数,0,0,0,0,4,0,0,0,4,0.725
参数量,3,0,8,3,6,2,2,1,25,6.36875
算法模型,0,0,4,2,6,1,3,1,17,2.74375
训练集,0,0,0,3,4,1,0,0,8,1.28125
3d卷积神经网络,1,0,3,0,19,0,0,0,23,4.81875
学习率,0,0,0,5,3,3,1,0,12,1.89375
jester数据集,0,0,0,0,3,0,0,0,3,0.54375
验证集,0,0,0,1,3,1,1,0,6,1.03125
梯度,0,0,2,1,3,0,0,0,6,0.91875
视频数据,4,0,30,0,10,0,4,6,54,11.375
性能,0,0,7,7,3,4,4,2,27,4.106249999999999
网络参数,0,0,0,0,2,0,0,0,2,0.3625
数据,1,0,7,3,3,5,0,1,20,3.8812499999999996
ucf-101,0,0,0,0,2,0,0,0,2,0.3625
mobilenetv2,0,0,1,3,2,1,0,0,7,1.04375
squeezenet,0,0,0,0,2,0,0,0,2,0.3625
模型,0,0,4,0,3,3,0,0,10,1.5875
卷积神经网络,0,0,7,1,8,5,1,3,25,4.08125
采样率,0,0,0,0,3,2,0,0,5,0.90625
手势类,0,0,0,0,2,0,0,0,2,0.3625
3d卷积神经网络模型,0,0,0,0,2,0,0,0,2,0.3625
采样,0,0,0,2,7,0,0,0,9,1.51875
学习率衰减,0,0,0,0,2,0,0,0,2,0.3625
batchsize,0,0,0,2,2,2,1,0,7,1.15625
数据分布,0,0,0,0,2,0,0,0,2,0.3625
迁移学习,0,0,2,0,2,3,0,0,7,1.15625
动作,0,0,2,0,2,0,2,0,6,0.975
lenet,0,0,0,0,1,0,0,0,1,0.18125
算法性能,0,0,0,1,1,0,0,0,2,0.30625
学习率衰减系数,0,0,0,0,1,0,0,0,1,0.18125
微调,0,0,0,0,1,3,0,0,4,0.725
卷积层,0,0,3,0,1,0,0,0,4,0.55625
迁移学习能力,0,0,0,0,1,1,0,0,2,0.3625
3d卷积网络,0,0,0,0,1,0,0,0,1,0.18125
基准数据集,0,0,1,0,1,0,0,0,2,0.30625
视频动作行为识别,0,0,0,0,1,0,0,0,1,0.18125
比例变换,0,0,0,0,1,0,0,0,1,0.18125
物体,0,0,0,0,1,0,1,0,2,0.3625
相机运动,0,0,0,0,1,0,0,0,1,0.18125
人物交互,0,0,0,0,1,0,0,0,1,0.18125
乐器,0,0,0,0,1,0,0,0,1,0.18125
分辨率,0,0,1,1,3,0,0,0,5,0.79375
行为动作识别数据集,0,0,0,0,1,0,0,0,1,0.18125
动作视频,0,0,0,0,1,0,0,0,1,0.18125
视频网,0,0,0,0,1,0,0,0,1,0.18125
shufflenet,0,0,1,0,1,0,0,0,2,0.30625
op,1,0,0,0,1,0,0,0,2,1.18125
指数,0,0,0,0,1,0,0,0,1,0.18125
视频抽样数,0,0,0,0,1,0,0,0,1,0.18125
视频帧,0,0,0,0,1,0,0,0,1,0.18125
彩色图像通道数,0,0,0,0,1,0,0,0,1,0.18125
视频帧数,0,0,0,0,1,0,0,0,1,0.18125
神经网络,3,0,37,7,5,3,3,2,60,10.85625
3d神经网络,1,0,1,0,4,0,0,0,6,1.85
2d神经网络,1,0,1,0,5,0,0,0,7,2.03125
图像大小,0,0,0,0,2,0,0,0,2,0.3625
计算机视觉任务,0,0,2,1,1,0,1,1,6,0.91875
量量参数量,0,0,0,0,1,0,0,0,1,0.18125
精度核模型,0,0,0,0,1,0,0,0,1,0.18125
3d-cnn模型,0,0,0,0,2,0,0,0,2,0.3625
关键帧提取技,0,0,0,0,1,0,0,0,1,0.18125
采样策略,0,0,0,0,2,0,0,0,2,0.3625
智能设备,7,0,32,3,9,0,3,4,58,14.275
抽样,0,0,0,0,1,0,0,0,1,0.18125
变量控制,0,0,0,0,1,0,0,0,1,0.18125
单帧图像,0,0,1,0,1,0,0,0,2,0.30625
轮次,0,0,0,0,1,0,0,0,1,0.18125
训练模型,0,0,0,0,1,1,0,0,2,0.3625
ssv2数据集,0,0,0,0,1,0,0,0,1,0.18125
训练网络,0,0,0,0,1,0,0,0,1,0.18125
权值衰减参数,0,0,0,0,1,0,0,0,1,0.18125
动量系数,0,0,0,0,1,0,0,0,1,0.18125
参数,2,0,14,4,2,2,3,2,29,5.88125
神经网络模型,0,0,9,4,5,0,3,0,21,3.075
头发,0,0,0,0,1,0,0,0,1,0.18125
咀嚼,0,0,0,0,1,0,0,0,1,0.18125
转头,0,0,0,0,1,0,0,0,1,0.18125
伸展,0,0,0,0,1,0,0,0,1,0.18125
无手势,0,0,0,0,1,0,0,0,1,0.18125
手势识别系统,0,0,0,0,1,0,0,0,1,0.18125
端到端,0,0,1,0,1,0,0,0,2,0.30625
基准测试,0,0,0,0,1,0,0,0,1,0.18125
手势识别,0,0,0,0,1,0,0,0,1,0.18125
手势,0,0,0,0,1,0,0,0,1,0.18125
对比类,0,0,0,0,1,0,0,0,1,0.18125
无手势类,0,0,0,0,1,0,0,0,1,0.18125
人机界面,0,0,0,0,1,0,0,0,1,0.18125
持续时间,0,0,0,0,1,0,0,0,1,0.18125
视频片段,0,0,0,0,1,1,2,0,4,0.725
数量,0,0,0,1,1,0,0,0,2,0.30625
捕捉能力,0,0,0,0,1,0,0,0,1,0.18125
训练集数据,0,0,0,0,1,0,0,0,1,0.18125
视频背景,0,0,0,0,1,0,0,0,1,0.18125
手势动作,0,0,0,0,1,0,0,0,1,0.18125
摄像头,0,0,1,0,1,0,0,0,2,0.30625
手势行为分类数据集,0,0,0,0,1,0,0,0,1,0.18125
trn-multiscale,0,0,0,0,1,0,0,0,1,0.18125
mething,0,0,1,0,2,0,0,0,3,0.4875
