parent_url,parent_name,this_url,name,level
频谱认知无线通信系统的关键技术研究_1级_1,绪论1,频谱认知无线通信系统的关键技术研究_2级_1,课题研究背景及意义1,2
频谱认知无线通信系统的关键技术研究_1级_1,绪论1,频谱认知无线通信系统的关键技术研究_2级_2,频谱感知技术概述2,2
频谱认知无线通信系统的关键技术研究_1级_1,绪论1,频谱认知无线通信系统的关键技术研究_2级_3,数据预测技术概述3,2
频谱认知无线通信系统的关键技术研究_1级_1,绪论1,频谱认知无线通信系统的关键技术研究_2级_4,论文主要研究内容4,2
频谱认知无线通信系统的关键技术研究_1级_1,绪论1,频谱认知无线通信系统的关键技术研究_2级_5,论文主要工作的组织结构6,2
频谱认知无线通信系统的关键技术研究_1级_2,先验信息全盲的宽带能量检测模型7,频谱认知无线通信系统的关键技术研究_2级_6,概述7,2
频谱认知无线通信系统的关键技术研究_1级_2,先验信息全盲的宽带能量检测模型7,频谱认知无线通信系统的关键技术研究_2级_7,系统模型8,2
频谱认知无线通信系统的关键技术研究_1级_2,先验信息全盲的宽带能量检测模型7,频谱认知无线通信系统的关键技术研究_2级_8,基于迭代的能量检测模型9,2
频谱认知无线通信系统的关键技术研究_1级_2,先验信息全盲的宽带能量检测模型7,频谱认知无线通信系统的关键技术研究_2级_9,仿真结果及分析12,2
频谱认知无线通信系统的关键技术研究_1级_2,先验信息全盲的宽带能量检测模型7,频谱认知无线通信系统的关键技术研究_2级_10,本章小结18,2
频谱认知无线通信系统的关键技术研究_1级_3,基于功率谱线间相关性的低信噪比能量检测19,频谱认知无线通信系统的关键技术研究_2级_11,初次能量检测算法19,2
频谱认知无线通信系统的关键技术研究_1级_3,基于功率谱线间相关性的低信噪比能量检测19,频谱认知无线通信系统的关键技术研究_2级_12,漏检信号位置确定20,2
频谱认知无线通信系统的关键技术研究_1级_3,基于功率谱线间相关性的低信噪比能量检测19,频谱认知无线通信系统的关键技术研究_2级_13,基于功率谱线间相关性的检测22,2
频谱认知无线通信系统的关键技术研究_1级_3,基于功率谱线间相关性的低信噪比能量检测19,频谱认知无线通信系统的关键技术研究_2级_14,联合迭代算法25,2
频谱认知无线通信系统的关键技术研究_1级_3,基于功率谱线间相关性的低信噪比能量检测19,频谱认知无线通信系统的关键技术研究_2级_15,仿真结果及分析27,2
频谱认知无线通信系统的关键技术研究_1级_3,基于功率谱线间相关性的低信噪比能量检测19,频谱认知无线通信系统的关键技术研究_2级_16,本章小结37,2
频谱认知无线通信系统的关键技术研究_1级_4,频谱感知数据的预测39,频谱认知无线通信系统的关键技术研究_2级_17,预测方法的选择39,2
频谱认知无线通信系统的关键技术研究_1级_4,频谱感知数据的预测39,频谱认知无线通信系统的关键技术研究_2级_18,时间序列预测40,2
频谱认知无线通信系统的关键技术研究_1级_4,频谱感知数据的预测39,频谱认知无线通信系统的关键技术研究_2级_19,信源数据产生模型46,2
频谱认知无线通信系统的关键技术研究_1级_4,频谱感知数据的预测39,频谱认知无线通信系统的关键技术研究_2级_20,ARIMA模型预测信源数据50,2
频谱认知无线通信系统的关键技术研究_1级_4,频谱感知数据的预测39,频谱认知无线通信系统的关键技术研究_2级_21,预测结果及分析52,2
频谱认知无线通信系统的关键技术研究_1级_4,频谱感知数据的预测39,频谱认知无线通信系统的关键技术研究_2级_22,动态频谱接入模型55,2
频谱认知无线通信系统的关键技术研究_1级_4,频谱感知数据的预测39,频谱认知无线通信系统的关键技术研究_2级_23,本章小结56,2
频谱认知无线通信系统的关键技术研究_1级_5,总结与展望57,频谱认知无线通信系统的关键技术研究_2级_24,全文工作总结57,2
频谱认知无线通信系统的关键技术研究_1级_5,总结与展望57,频谱认知无线通信系统的关键技术研究_2级_25,下一步的工作58,2
