parent_url,parent_name,this_url,name,level
高速环境下无线通信系统的同步技术研究_2级_5,LTE下行物理层协议概述11,高速环境下无线通信系统的同步技术研究_3级_1,LTE帧结构11,3
高速环境下无线通信系统的同步技术研究_2级_5,LTE下行物理层协议概述11,高速环境下无线通信系统的同步技术研究_3级_2,时隙结构与物理资源12,3
高速环境下无线通信系统的同步技术研究_2级_5,LTE下行物理层协议概述11,高速环境下无线通信系统的同步技术研究_3级_3,参考信号和同步序列13,3
高速环境下无线通信系统的同步技术研究_2级_6,802,高速环境下无线通信系统的同步技术研究_3级_4,系统参数14,3
高速环境下无线通信系统的同步技术研究_2级_6,802,高速环境下无线通信系统的同步技术研究_3级_5,子载波分配15,3
高速环境下无线通信系统的同步技术研究_2级_6,802,高速环境下无线通信系统的同步技术研究_3级_6,帧结构16,3
高速环境下无线通信系统的同步技术研究_2级_10,数据辅助的频偏估计方法22,高速环境下无线通信系统的同步技术研究_3级_7,Schmidl同步算法22,3
高速环境下无线通信系统的同步技术研究_2级_10,数据辅助的频偏估计方法22,高速环境下无线通信系统的同步技术研究_3级_8,P,3
高速环境下无线通信系统的同步技术研究_2级_10,数据辅助的频偏估计方法22,高速环境下无线通信系统的同步技术研究_3级_9,基于导频的同步算法24,3
高速环境下无线通信系统的同步技术研究_2级_13,开发环境及整体系统搭建29,高速环境下无线通信系统的同步技术研究_3级_10,FPGA开发环境29,3
高速环境下无线通信系统的同步技术研究_2级_13,开发环境及整体系统搭建29,高速环境下无线通信系统的同步技术研究_3级_11,802,3
高速环境下无线通信系统的同步技术研究_2级_14,802,高速环境下无线通信系统的同步技术研究_3级_12,时域载波同步算法:32,3
高速环境下无线通信系统的同步技术研究_2级_14,802,高速环境下无线通信系统的同步技术研究_3级_13,频域相位跟踪算法34,3
高速环境下无线通信系统的同步技术研究_2级_15,频率同步算法的FPGA硬件实现35,高速环境下无线通信系统的同步技术研究_3级_14,载波同步的FPGA实现35,3
高速环境下无线通信系统的同步技术研究_2级_15,频率同步算法的FPGA硬件实现35,高速环境下无线通信系统的同步技术研究_3级_15,相位跟踪的FPGA实现39,3
高速环境下无线通信系统的同步技术研究_2级_16,硬件实现结果及遇到的问题40,高速环境下无线通信系统的同步技术研究_3级_16,实验结果验证40,3
高速环境下无线通信系统的同步技术研究_2级_16,硬件实现结果及遇到的问题40,高速环境下无线通信系统的同步技术研究_3级_17,遇到的问题42,3
