(直角坐标, Rectangular coordinates)
(矢量, Vector)
(时间间隔, Time interval)
(位置坐标, Position coordinates)
(速度增量, Velocity increment)
(速率, Speed)
(一阶导数, First derivative)
(正, Positive)
(位移, Displacement)
(运动方程, Equation of motion)
(标量, Scalar)
(平均速度, Average velocity)
(位矢, Displacement vector)
(瞬时速度, Instantaneous velocity)
(大小, Magnitude)
(方向余弦, Direction cosines)
(路程, Distance)
(分量, Component)
(半径, Radius)
(运动状态, Motion state)
(平均速率, Average speed)
(快慢程度, Speed)
(匀速率圆周运动, Uniform circular motion)
(细节, Details)
(速度, Velocity)
(方向, Direction)
(瞬时速率, Instantaneous speed)
(物理量, Physical quantity)
(质点, Particle)
(坐标轴, Coordinate axis)
(速度矢量, Velocity vector)
