(加速度的大小, magnitude of acceleration)
(积分法, Integral method)
(切向加速度, Tangential acceleration)
(自然坐标, Natural coordinates)
(绝对运动, Absolute motion)
(圆周运动中质点的加速度, Acceleration of particles in circular motion)
(斜抛运动中的法向加速度, Normal acceleration in projectile motion)
(法向加速度, normal acceleration)
(刹车, braking)
(夹角, angle)
(时间, time)
(加速度, acceleration)
(斜抛运动中的切向加速度, Tangential acceleration in projectile motion)
(速率, velocity)
(运动方程, Equation of motion)
(圆周运动, circular motion)
(微分法, Differential method)
(法向加速度, Normal acceleration)
(曲率半径, Radius of curvature)
(斜抛运动中的曲率半径, Radius of curvature in projectile motion)
(一般曲线运动, General curved motion)
(运动方程, equation of motion)
(角加速度, angular acceleration)
(行星的加速度方向, Acceleration direction of the planet)
(圈, loop)
(自然坐标中质点运动学问题, Kinematic problems of particles in natural coordinates)
(速度的增量, Increment of velocity)
(速度, speed)
(恒星系, Stellar system)
(相对运动, Relative motion)
(质点的圆周运动, Circular motion of particles)
(任意曲线运动的加速度, Acceleration of arbitrary curved motion)
(加速度方向偏向运动的前方, Acceleration direction deviates towards the front of motion)
(第二类问题, Type 2 problems)
(第一类问题, Type 1 problems)
(落地点, landing point)
(角量, angular quantity)
(参考系, Reference frame)
(规律, law)
(行星速率的变化, Change in planet's velocity)
(线量描述运动方程, Motion equation described by linear quantities)
(判断质点沿圆周运动加速或减速的方法, Method to determine if particle is accelerating or decelerating in circular motion)
(抛体运动, Projectile motion)
(速度, Velocity)
(拋出点, release point)
(角速度, angular velocity)
(质点运动的圈数, Number of revolutions of the particle's motion)
(变换关系, Transformation relationship)
(总加速度, total acceleration)
(切向加速度, tangential acceleration)
(运动, Motion)
(角加速度为负的情况, Case of negative angular acceleration)
(行星运行轨道, Planetary orbit)
(顶点, vertex)
(加速度, Acceleration)
(开普勒行星运动定律, Kepler's laws of planetary motion)
(质点, particle)
(角量描述运动方程, Motion equation described by angular quantities)
(圆周运动, Circular motion)
(原点, origin)
(质点的运动类型, Types of particle motion)
