(电子感应加速器, Electron Induction Accelerator)
(楞次定律, Lenz's Law)
(电子脱离轨道, Electron Detachment from Orbit)
(涡流, Eddy Current)
(医疗上诊治癌症, Medical Diagnosis and Treatment of Cancer)
(指针, Pointer)
(电磁阻尼, Electromagnetic Damping)
(靶子, Target)
(电磁阻力, Electromagnetic Resistance)
(摆, Pendulum)
(磁通量, Magnetic Flux)
(电磁仪表, Electromagnetic Instrument)
(机械效应, Mechanical Effect)
(感应电流, Induced Current)
(电磁铁, Electromagnet)
(核物理研究, Nuclear Physics Research)
(工业探伤, Industrial Testing)
(磁极, Magnetic Pole)
(低能电子感应加速器, Low-energy Electron Induction Accelerator)
(热效应, Thermal Effect)
