(简谐纵波, Harmonic longitudinal wave)
(振动速度, Vibration velocity)
(驻波, Standing wave)
(能量变化规律, Law of energy change)
(弹性介质, Elastic medium)
(体积元, Volume element)
(能量, Energy)
(波的能量密度, Energy density of waves)
(势能, Potential energy)
(简谐波, Harmonic wave)
(胡克定律, Hooke's law)
(行波, Progressive wave)
(杨氏模量, Young's modulus)
(动能, Kinetic energy)
(总能量, Total energy)
(角频率的平方, Square of angular frequency)
(速度, Velocity)
(波的振幅平方, Square of wave amplitude)
(介质密度, Medium density)
(介质, Medium)
(能量密度, Energy density)
(相位, Phase)
(弹性形变, Elastic deformation)
