(速率, Velocity)
(马赫锥, Mach cone)
(光谱学, Spectroscopy)
(冲击波, shock wave)
(波源, Wave source)
(机械波, Mechanical wave)
(观察者, observer)
(振动频率, Vibration frequency)
(天体物理, Astrophysics)
(频率, Frequency)
(间距, Spacing)
(拍频, Beat frequency)
(球面波, Spherical wave)
(声速, speed of sound)
(压缩, Compression)
(振动周期, Vibration period)
(波速, Wave speed)
(多普勒效应, Doppler effect)
(音调, Pitch)
(声速公式, formula for speed of sound)
(圆锥面冲击波式, formula for shock wave on a conical surface)
(波面, Wavefront)
(马赫数, Mach number)
(观察者, Observer)
(冲击波, Shock wave)
(正切函数, tangent function)
(医学, Medicine)
(超声波, Ultrasonic wave)
(正弦函数, sine function)
(声震, sonic boom)
(马赫锥顶点, vertex of Mach cone)
(定量分析, Quantitative analysis)
(角度, angle)
(介质, Medium)
(飞机高度, aircraft altitude)
(运动, Motion)
(交通警察, Traffic police)
(声波, Sound wave)
(声速, Speed of sound)
(工业, Industry)
(冲击波的强度, intensity of shock wave)
(波长, Wavelength)
(声源, Sound source)
