(光学仪器, Optical instrument)
(柱面透镜, Cylindrical lens)
(卫星载红外摄像机, Satellite-borne infrared camera)
(屈光度, Diopter)
(透镜焦距, Lens focal length)
(角膜, Cornea)
(反射镜, Reflecting mirror)
(色散像差, Chromatic aberration)
(巩膜, Sclera)
(远点, Far point)
(虹膜, Iris)
(透镜, Lens)
(显微镜, Microscope)
(焦点, Focus)
(近视眼, Myopia)
(位置色差, Lateral chromatic aberration)
(照相机, Camera)
(远视眼, Hyperopia)
(明视距离, Far point)
(放大率色散, Longitudinal chromatic aberration)
(明视距离, Clear vision distance)
(扫描电镜, Scanning electron microscope)
(眼镜度数, Glasses prescription)
(老花眼, Presbyopia)
(像散, Spherical aberration)
(毛玻璃屏, Frosted glass screen)
(散光, Astigmatism)
(天文望远镜, Telescope)
(光焦度, Optical power)
(瞳孔, Pupil)
(角膜曲率, Corneal curvature)
(眼, Eye)
(前房, Anterior chamber)
(彗形像差, Coma aberration)
(凸透镜, Convex lens)
(折射率, Refractive index)
(视网膜, Retina)
(晶状体, Lens)
(近点, Near point)
(彩色环, Colored ring)
(复合透镜, Compound lens)
