(简单放大镜, Simple magnifying glass)
(折射球面, Spherical lens)
(主光线, Principal ray)
(望远镜, Telescope)
(角放大率, Angular magnification)
(镜头, Lens)
(可调光阑, Adjustable aperture)
(共轴折射面组, Coaxial refractive surface group)
(广角镜头, Wide-angle lens)
(像距, Image distance)
(曲率半径, Radius of curvature)
(景深, Depth of field)
(光线, Light ray)
(逐次成像法, Successive imaging method)
(显微镜, Microscope)
(帘幕式快门, Curtain shutter)
(曝光时间, Exposure time)
(照相机, Camera)
(放大率, Magnification)
(薄透镜, Thin lens)
(折射, Refraction)
(像方焦距, Image focal length)
(中心快门, Central shutter)
(物像公式, Lens formula)
(倒立, Inverted)
(正立, Upright)
(反射球面镜, Spherical mirror)
(总曝光量, Total exposure)
(望远镜头, Telephoto lens)
(全反射, Total internal reflection)
(物方焦距, Object focal length)
(快门, Shutter)
(折射球面放大率, Refractive spherical magnification)
(物距, Object distance)
(色散现象, Dispersion)
(反射, Reflection)
(变焦距镜头, Zoom lens)
(实像, Real image)
(物像公式, Object-image formula)
(几何光学, Geometric optics)
(光阑, Aperture)
(底片, Film)
(虚像, Virtual image)
(折射率, Refractive index)
(笛卡儿符号规则, Descartes' sign convention)
(折射角, Refracted angle)
(焦距, Focal length)
(标准镜头, Standard lens)
