(光开关, Optical switch)
(偏振光强度变化, polarized light intensity change)
(线偏振光, linearly polarized light)
(物镜, objective lens)
(夹角, angle)
(立体电影, stereoscopic film)
(马吕斯定律, Malus's law)
(顺时针方向, clockwise direction)
(偏振滤光片, polarizing filter)
(振幅分解, decomposition of amplitude)
(吸收, absorption)
(法国物理学家马吕斯, French physicist Malus)
(光振动方向, direction of light vibration)
(检偏器, polarizer)
(自然光, natural light)
(光透过偏振片, Light passing through a polarizer)
(光强度, light intensity)
(混合光, mixed light)
(自然光, Natural light)
(检偏器偏振化方向, direction of polarization of the polarizer)
(光强, light intensity)
(光强与光强度之比, ratio of light intensity to light intensity)
(正交偏振片, Orthogonal polarizers)
(光的光强度, intensity of light)
(起偏作用, polarization effect)
(偏振化方向, Polarization direction)
(透射光强度, Transmitted light intensity)
(马呂斯定律, Malus's Law)
(线偏振光, Linearly polarized light)
(迎着透射光观察, observing against transmitted light)
(透射光的光强与入射光的光强之比, ratio of transmitted light intensity to incident light intensity)
(光波, light wave)
(消光, extinction)
(光的比例, proportion of light)
(布儒斯特定律, Brewster's law)
(混合光, Mixed light)
(透射光, transmitted light)
(偏光眼镜, polarized glasses)
