(氟化镁, Magnesium fluoride)
(平整度, Flatness)
(厚度, Thickness)
(薄膜, Thin film)
(肥皂液膜, Soap film)
(玻璃平板, Glass plate)
(二氧化硅, Silicon dioxide)
(透射式干涉滤色片, Transmissive interference filter)
(反射式干涉滤色片, Reflective interference filter)
(干涉, Interference)
(半反射板, Semi-reflective plate)
(实验装置, Experimental setup)
(平板厚度, Plate thickness)
(等倾干涉, Equal inclination interference)
(相位差, Phase difference)
(增反膜, Anti-reflective film)
(反射面, Reflective surface)
(介质折射率, Refractive index of medium)
(凹凸不平, Uneven)
(雷达波, Radar wave)
(电介质, Dielectric)
(小孔光源, Pinhole light source)
(透镜, Lens)
(镀膜, Coating)
(实时监控镀膜厚度, Real-time monitoring of coating thickness)
(干涉图样, Interference pattern)
(薄膜干涉原理, Thin film interference principle)
(时间相干性, Temporal coherence)
(等倾干涉, Equal-inclination interference)
(薄膜层, Thin film layer)
(光波, Light wave)
(干涉条纹, Interference fringes)
(等厚干涉, Equal thickness interference)
(等倾干涉实验, Equal inclination interference experiment)
(入射角, Incident angle)
(反射光, Reflected light)
(条纹间距, Fringe spacing)
(透明介质膜, Transparent dielectric film)
(暗纹公式, Formula for dark fringes)
(迈克耳孙干涉仪, Michelson interferometer)
(半波损失, Half-wave loss)
(明纹公式, Formula for bright fringes)
(ZnS介质膜, ZnS dielectric film)
(暗条纹, Dark fringe)
(蓝紫色, Blue-violet color)
(反射光干涉相消, Interference cancellation of reflected light)
(油膜, Oil film)
(反射波干涉相消, Interference cancellation of reflected waves)
(环纹半径, Radius of the ring)
(高精度平板, High precision plate)
(反射光增强, Reflection enhancement)
(光波波长, Wavelength of light wave)
(玻璃板, Glass plate)
(滤光, Filtering)
(增透膜, Anti-reflection coating)
(折射率, Refractive index)
(薄膜厚度, Thickness of thin film)
(明条纹, Bright fringe)
(牛顿环, Newton's rings)
(单色光, Monochromatic light)
(波长, Wavelength)
(空气劈尖, Air wedge)
(光程差, Optical path difference)
