(明暗之间, Between bright and dark)
(衍射斑, Diffraction spot)
(中央明纹的角宽度, Central bright fringe width)
(干涉相消, Interference cancellation)
(主极大条纹, Principal maximum fringe)
(衍射角, Diffraction angle)
(明纹宽度, Bright fringe width)
(角宽度, Angular width)
(其它明纹角宽度, Other bright fringe width)
(衍射, Diffraction)
(波动光学, Wave optics)
(光强, Intensity of light)
(半波带数, Half-wave zone number)
(暗纹, Dark fringe)
(几何光学, Geometrical optics)
(衍射条纹铺开的宽度, Width of diffraction fringes)
(明纹, Bright fringe)
(半波带, Half-period)
(光束的限制, Limitation of light beam)
(观测屏幕上光强的分布, Distribution of light intensity on the observation screen)
(衍射条纹大小, Diffraction fringe size)
(明纹强度, Intensity of bright fringes)
(面积减小, Decrease in area)
(Ap, Ap)
(单缝夫琅禾费衍射图样, Diffraction pattern of a single slit using white light)
(衍射光场中波线取向弥散程度, Dispersion degree of wavefront orientation in diffraction field)
(狭缝, Slit)
(菲涅耳半波带法, Fresnel half-period method)
(缝宽a, Slit width)
(波长, Wavelength)
(衍射光场的弥散, Dispersion of diffraction field)
(光程差, Optical path difference)
