(导体, Conductor)
(未被电子填满, Not filled by electrons)
(金属导体, Metal conductor)
(半导体, Semiconductor)
(激发能带, Excited band)
(空带, Conduction band)
(能带, Band)
(禁带宽度, Band gap width)
(绝缘体, Insulator)
(与空带相重叠, Overlap with the empty band)
(电流, Electric current)
(空穴, Hole)
(电导率, Electrical conductivity)
(电子跃迁, Electron transition)
(温度, Temperature)
(电子激发, Electron excitation)
(电离气体, Ionized gas)
(禁带宽度, Band gap)
(满带, Filled band)
(擦融电解质, Molten electrolyte)
(电解质, Electrolyte)
(能带结构, Band structure)
(电阻率, Resistivity)
(击穿, Breakdown)
(能带理论, Band theory)
(电场, Electric field)
(电子导电性, Electrical Conductivity)
(满带, Valence band)
(金属导体, Metal Conductor)
(价带, Valence band)
