(氦氖激光, Helium-neon laser)
(%, %)
(激光器, Laser)
(粒子数反转, Population inversion)
(反射镜, Reflective mirror)
(无辐射跃迁, Non-radiative transition)
(激光的形成, Formation of laser)
(阈值条件, Threshold condition)
(?, ?)
(能级反转, Population inversion)
(谐振腔, Resonator cavity)
(4, 4)
(能级图, Energy level diagram)
(激励能源, Excitation energy)
(激光工作物质, Laser working material)
(m, m)
(亚稳态, Metastable state)
(能级结构, Energy level structure)
(跃迁特性, Transition characteristics)
(增益介质, Gain medium)
(激光工作物质, Laser active medium)
(激光腔, Laser cavity)
