(原子, Atom)
(微分方程, differential equation)
(哈密顿算符, Hamiltonian operator)
(波函数, Wave function)
(位置坐标, position coordinates)
(能量算符, energy operator)
(物质波, Matter wave)
(V(r,t), Potential function)
(2M, Mass)
(算符, operator)
(拉普拉斯算符, Laplacian operator)
(微观粒子, Microscopic particles)
(偏导数, partial derivative)
(微观体系, Microscopic system)
(质量, mass)
(牛顿定律, Newton's laws)
(非相对论情况, non-relativistic case)
(平面波, plane wave)
(自由粒子, free particle)
(力学量, physical quantity)
(非相对论情况, Non-relativistic situation)
(实验, Experiment)
(动量, momentum)
(基本方程, Fundamental equation)
(外场, external field)
(经典力学, Classical mechanics)
(E, Energy)
(动量算符, momentum operator)
(物质波波函数, matter wave function)
(量子力学, Quantum mechanics)
(薛定谔方程, Schrodinger equation)
(分子, Molecule)
