(人体组织功能, Human tissue function)
(核磁共振层析术, Nuclear magnetic resonance tomography)
(磁矩, Magnetic Moment)
(扫场线圈, Sweep Coil)
(核磁矩, Nuclear magnetic moment)
(核磁共振方法, Nuclear magnetic resonance method)
(核磁共振谱仪, Nuclear Magnetic Resonance Spectrometer)
(氢核, Hydrogen Nucleus)
(核磁共振法, Nuclear magnetic resonance method)
(电四极矩, Electric Quadrupole Moment)
(辐射跃迁, Radiative Transition)
(化学, Chemistry)
(成像重建, Image reconstruction)
(代谢过程, Metabolic process)
(液体水, Liquid Water)
(相关书籍和文献, Related books and literature)
(跃迁选择定则, Transition Selection Rule)
(生理和生化方面的信息, Physiological and biochemical information)
(特合作, Cooperation)
(临床诊断, Clinical diagnosis)
(核磁共振, Nuclear Magnetic Resonance)
(分子结构, Molecular structure)
(核磁共振仪, Nuclear Magnetic Resonance Instrument)
(安培, Ampere)
(能级分裂, Level Splitting)
(核磁共振实验装置, Nuclear Magnetic Resonance Experimental Setup)
(固体石蜡, Solid Paraffin)
(磁场, Magnetic field)
(医学, Medicine)
(共振吸收, Resonant Absorption)
(氢基态核磁矩, Hydrogen Ground State Nuclear Magnetic Moment)
(核磁矩, Nuclear Magnetic Moment)
(计量科学院, Institute of Metrology)
(宏观样品, Macroscopic Sample)
(高频电磁场, High Frequency Electromagnetic Field)
(自旋, Spin)
(核磁共振实验, Nuclear magnetic resonance experiment)
(现代计算机技术, Modern computer technology)
(吸收曲线, Absorption Curve)
(玻尔兹曼分布, Boltzmann Distribution)
(能级间距, Energy Level Spacing)
(波谱学, Spectroscopy)
(物质结构, Material structure)
(生物科学, Biological science)
(射频场, RF Field)
(共振跃迁, Resonant Transition)
