(万有引力相互作用, Universal gravitational interaction)
(不可忽略, Cannot be ignored)
(强相互作用, Strong Interaction)
(p衰变, P Decay)
(弱相互作用, Weak Interaction)
(强子转变, Hadron Transformation)
(轻子, Lepton)
(粒子之间的距离, Distance between particles)
(力程最短, Shortest Range)
(电子, Electron)
(强子, Hadron)
(原子核的放射性衰变, Radioactive Decay of Nucleus)
(电磁相互作用, Electromagnetic interaction)
(衰变, Decay)
(作用时间, Interaction Time)
(中子, Neutron)
(强相互作用, Strong interaction)
(四种相互作用, Four Fundamental Interactions)
(强度比强相互作用要弱, Weaker than Strong Interaction)
