(竖直平面, vertical plane)
(弹簧振子系统, Spring-mass system)
(积分, integration)
(第二类问题, Type 2 problem)
(动力学的第二类问题, Second type of dynamics problem)
(切向分量, tangential component)
(牛顿第二定律, Newton's second law)
(合外力, Net external force)
(质点动力学问题, Particle dynamics problems)
(牛顿运动定律, Newton's laws of motion)
(地球同步卫星, Geostationary satellite)
(力, force)
(地球对物体的引力, Gravitational force of the Earth on an object)
(小球, ball)
(参考系, Reference frame)
(运行高度, orbital altitude)
(近地点, Perigee)
(向心力, centripetal force)
(重力, Gravity)
(地球的自转周期, Rotation period of the Earth)
(第一类问题, Type 1 problem)
(地球自转轴, axis of Earth's rotation)
(自旋, Spin)
(自然坐标, natural coordinate system)
(运动微分方程, Differential equation of motion)
(受力情况, force situation)
(地球同步卫星的运行速率, Orbital velocity of geostationary satellite)
(质点动力学问题, particle dynamics problem)
(第一宇宙速度, First cosmic velocity)
(微分形式, differential form)
(速度分量, Velocity components)
(法向分量, normal component)
(讨论, discussion)
(霍曼轨道, Hohmann transfer orbit)
(停泊轨道, Parking orbit)
(上抛物体速度随高度变化规律, Law of velocity change with height for projectile motion)
(相对加速度, relative acceleration)
(作用力, Applied force)
(作用力, force)
(初速度, Initial velocity)
(质点动力学, dynamics of particles)
(速率, velocity)
(发射地球同步卫星技术要求, Technical requirements for launching geostationary satellites)
(姿态调整, Attitude adjustment)
(伽利略变换, Galilean transformation)
(质点运动学, kinematics of particles)
(质量, mass)
(变力问题, Variable force problem)
(技术难度, technical difficulty)
(拉力, tension)
(压力, Pressure)
(万有引力定律, Universal law of gravitation)
(远地点, Apogee)
(地球同步卫星的运行高度, Orbital altitude of geostationary satellite)
(质点运动微分方程, Differential equation of particle motion)
(初始轨道, Initial orbit)
(运动微分方程, differential equation of motion)
(运行速率, orbital velocity)
(卫星的运行周期, Orbital period of satellite)
(匀加速运动, Uniformly accelerated motion)
(弹道方程, Trajectory equation)
(转动, rotation)
(重力, gravity)
(同步轨道, Synchronous orbit)
(发射精度, launch accuracy)
(非惯性系, non-inertial frame of reference)
(地面控制中心, Ground control center)
(水平方向, Horizontal direction)
(共同运动, common motion)
(惯性系, inertial frame of reference)
(加速度, acceleration)
(压力, pressure)
(运动情况, motion situation)
(牛顿第二定律, Newton's Second Law)
(运动叠加原理, Principle of superposition of motion)
(质点动力学问题, kinematics of particles)
(受力分析, Force analysis)
(隔离体, isolated body)
(远地点发动机, Apogee engine)
(水平力, horizontal force)
(加速度变换定理, Acceleration transformation theorem)
(变量代换, Variable substitution)
(列方程求解, equation solving)
(全球通信, Global communication)
(消去变量, Elimination of variables)
(合外力, Net External Force)
(合力, net force)
(垂直方向, Vertical direction)
(角速度, angular velocity)
(运行周期, orbital period)
(圆心, center of the circle)
(受力图, force diagram)
(辅助性方程, auxiliary equation)
(静止, rest)
(马拉车的力, Force of pulling the cart)
(加速度方程, Acceleration equation)
(坐标系, coordinate system)
(圆轨道平面, circular orbit plane)
(矢量方程, vector equation)
(赤道平面, equatorial plane)
(地球引力, gravity of Earth)
(研究对象, object of study)
(地球同步卫星, geostationary satellite)
(车拉马的力, Force of the cart pulling the horse)
(斜面, Incline)
(垂直力, Vertical force)
(运动方程, equation of motion)
((R+h)2, Square of (R+h))
(电动机, electric motor)
(分量式, component form)
(方向, direction)
(分离变量, separation of variables)
(脱离地球引力, Escape from Earth's gravity)
(最大速度, Maximum velocity)
(支持力, Normal force)
(竖直上抛的物体, Vertically thrown object)
(人造地球卫星, Artificial Earth satellite)
(水平轴, horizontal axis)
(牛顿第一定律, Newton's First Law)
(加速度合成, Acceleration composition)
(重量, Weight)
(推力, thrust)
(分离变量, Separation of variables)
(转移轨道, Transfer orbit)
(质点, Particle)
(切向加速度, tangential acceleration)
(直角坐标系, rectangular coordinate system)
(加速度, Acceleration)
(水平力, Horizontal force)
(第三宇宙速度, Third cosmic velocity)
(刚性细杆, rigid rod)
(空气阻力, Air resistance)
(第二宇宙速度, Second cosmic velocity)
