(角加速度方向, Direction of angular acceleration)
(角速度矢量和角加速度矢量, Angular velocity vector and angular acceleration vector)
(角速度大小, Magnitude of angular velocity)
(矢量运算法则, Rules of vector operations)
(角量的符号, Sign of angular quantity)
(角坐标正方向, Positive direction of angular coordinates)
(角加速度, Angular acceleration)
(刚体绕定轴转动, Rigid body rotation about a fixed axis)
(转动轴, Axis of rotation)
(右螺旋法则, Right-hand screw rule)
(角位移, Angular displacement)
(角速度矢量, Angular velocity vector)
(角速度, Angular velocity)
(角坐标, Angular coordinate)
(刚体定轴转动, Rigid body rotational motion about a fixed axis)
