(热, Heat)
(热力学第一定律, First law of thermodynamics)
(热力学第二定律, Second law of thermodynamics)
(统计规律, Statistical law)
(功, Work)
(平衡态, Equilibrium state)
(微观态, Microstate)
(绝热线, Adiabatic line)
(自由膨胀, Free expansion)
(无序性, Disorder)
(等温线, Isothermal line)
(宏观态, Macrostate)
(高温物体, High-temperature object)
(理想气体自由膨胀, Free expansion of ideal gas)
(热力学概率, Thermodynamic probability)
(孤立系统, Isolated system)
(不可逆性, Irreversibility)
(熵, Entropy)
(自发宏观过程, Spontaneous macroscopic process)
(概率观点, Probability viewpoint)
(不可逆过程, Irreversible process)
(热力学第二定律, Second Law of Thermodynamics)
(低温物体, Low-temperature object)
