(横波, Transverse wave)
(机械波, Mechanical wave)
(气体, Gas)
(弹性回复性质, Elastic restorative property)
(液体, Liquid)
(谐振动, Harmonic vibration)
(长管, Long tube)
(切变, Shear)
(弹簧, Spring)
(脉冲波, Pulse wave)
(压力波, Pressure wave)
(质元振动方向, Direction of particle vibration)
(弹性绳, Elastic rope)
(波峰, Crest)
(弹簧圈, Coil of spring)
(波谷, Trough)
(固体, Solid)
(活塞, Piston)
(弹性回复力, Elastic restoring force)
(介质, Medium)
(机械纵波, Mechanical longitudinal wave)
(空气, Air)
(纵波, Longitudinal wave)
(波的传播方向, Direction of wave propagation)
