(切向加速度, Tangential acceleration): 29
(伽利略速度变换式, Galilean velocity transformation equation): 2
(伽利略速度变换式, Galilean velocity transformation): 2
(角位移, Angular displacement): 16
(速率, Speed): 534
(坐标系, Coordinate system): 106
(相对速度, Relative velocity): 19
(罗盘, compass): 2
(位置, position): 452
(速度变换定理, velocity transformation theorem): 20
(绝对速度, absolute velocity): 4
(水平轨道, horizontal track): 2
(匀加速直线运动, Uniformly accelerated linear motion): 2
(法向加速度, Normal Acceleration): 37
(观察, observe): 257
(猴子, monkey): 25
(击中猴子, Hit the monkey): 1
(经典力学, Classical mechanics): 61
(角度, angle): 67
(运动参考系, motion reference frame): 10
(狭义相对论, Special relativity): 60
(矢量图, vector diagram): 5
(光速, Speed of light): 76
(位移, Displacement): 214
(直线运动, Linear Motion): 66
(法向加速度, Normal acceleration): 37
(物体运动速度, Object velocity): 3
(下雨, rain): 1
(伽利略变换, Galilean transformation): 32
(甲对乙的速度, velocity of A relative to B): 1
(运动方程, motion equation): 101
(子弹, bullet): 59
(匀速直线运动, Uniform Linear Motion): 18
(气流, airflow): 6
(变速直线运动, Variable Linear Motion): 9
(伽利略速度变换, Galilean velocity transformation): 10
(法向分量, Normal Component): 5
(运动方程, Equation of Motion): 101
(速度, Velocity): 1354
(位置矢量, Position Vector): 9
(速度变换式, Velocity transformation equation): 3
(速度, velocity): 1354
(圆周运动, Circular motion): 89
(牵连速度, consequential velocity): 3
(最高点, Highest Point): 4
(匀速, uniform speed): 63
(运动方程, Equation of motion): 101
(航向, heading): 6
(速度与时间的关系式, Relationship between velocity and time): 1
(平动坐标系变换, Translation of coordinate systems): 1
(曲线运动, Curved Motion): 26
(坐标系, Coordinate System): 106
(一质点沿尤轴运动, A particle moves along the y-axis): 1
(飞机, airplane): 72
(击中, hit): 11
(相对地面静止的坐标系, Coordinate system relative to the ground): 1
(相对运动, relative motion): 23
(圆周运动, Circular Motion): 89
(抛体运动, Projectile motion): 13
(基本参考系, basic reference frame): 9
(甲对丙的速度, velocity of A relative to C): 1
(自由下落, Free fall): 14
(风速, wind speed): 4
(角速度, Angular velocity): 156
(斜面, Incline): 14
(位矢, Position vector): 92
(静止, stationary): 223
(路程, Distance): 56
(相对速度, relative velocity): 19
(匀加速运动, Uniformly Accelerated Motion): 4
(抛物线运动, Parabolic Motion): 1
(角加速度, Angular acceleration): 77
(质点, Particle): 900
(地面, ground): 132
(加速度, Acceleration): 397
(空气阻力, Air resistance): 20
(角位置, Angular position): 5
