(振幅, Amplitude): 244
(斜椭圆轨迹, Slanted elliptical trajectory): 0
(频率, Frequency): 461
(拍频, Beat frequency): 7
(初相差, Phase difference): 23
(相位差, Phase difference): 116
(圆, Circle): 755
(谐振动, Harmonic vibration): 244
(同频率相互垂直的谐振动, Harmonic oscillations with the same frequency and mutually perpendicular): 1
(受迫振动, Forced vibration): 18
(相互垂直的谐振动, Mutually perpendicular harmonic oscillations): 16
(非周期运动, Non-periodic motion): 1
(阻尼振动, Damped vibration): 7
(斜椭圆, Slanted ellipse): 2
(椭圆轨迹, Elliptical trajectory): 0
(直线轨迹, Straight line trajectory): 1
(合成运动, Composite motion): 23
(拍, Beating): 23
(天体力学, Celestial mechanics): 0
(正圆轨迹, Circular trajectory): 0
(合成运动, Synthetic motion): 23
(李萨如图, Lissajous figure): 5
(谐振动, Harmonic oscillation): 244
(正椭圆, Ellipse): 4
(闭合曲线, Closed curve): 13
(轨迹方程, Trajectory equation): 22
(合成, Synthesis): 133
(分解, Decomposition): 40
