(波函数, Wave function): 161
(驻波, Standing wave): 61
(弹性介质, Elastic medium): 14
(光频蓝移, Blueshift of light frequency): 0
(波源, Wave source): 181
(机械波, Mechanical wave): 38
(振动状态, Vibration state): 8
(频率, Frequency): 461
(电磁波, Electromagnetic waves): 150
(波源运动, Source motion): 7
(运动相对性, Relativity of motion): 2
(波长, Wavelength): 470
(光谱线, Spectral lines): 29
(波速, Wave speed): 76
(观察者运动, Observer motion): 8
(多普勒效应, Doppler effect): 36
(真空, Vacuum): 112
(横向多普勒效应, Transverse Doppler effect): 2
(相对论效应, Relativistic effect): 7
(相对运动, Relative motion): 23
(光源固有频率, Intrinsic frequency of the light source): 3
(观察者, Observer): 108
(波的干涉, Wave interference): 9
(星体, Celestial body): 13
(平均能量密度, Average energy density): 7
(退行速度, Recession velocity): 1
(介质, Medium): 599
(机械波的多普勒效应, Doppler effect of mechanical waves): 4
(光的多普勒效应, Doppler effect of light): 3
(波的强度, Wave intensity): 24
(光波, Light waves): 335
(光频红移, Redshift of light frequency): 0
(惠更斯原理, Huygens' principle): 24
(周期, Period): 196
(纵向多普勒效应, Longitudinal Doppler effect): 4
