(原子, Atom): 626
(转动动能级, Rotational energy levels): 1
(不连续能量, Discrete energy): 1
(角动量量子化条件, Quantization condition of angular momentum): 3
(玻尔氢原子理论, Bohr's hydrogen atom theory): 1
(电子轨道半径, Electron orbital radius): 3
(双原子气体分子, Diatomic gas molecule): 1
(牟夸, Energy level): 1
(距离, Distance): 387
(能级, Energy level): 197
(核外电子, Electron outside the nucleus): 6
(量子枣, Quantum number): 0
(玻尔理论, Bohr theory): 18
(玻尔的氢原子理论, Bohr's theory of hydrogen atom): 3
(里德伯-里兹并合原则, Rydberg-Ritz combination principle): 2
(巴耳末系, Balmer series): 6
(能级跃迁, Energy level transition): 9
(谐振子能量量子化, Quantization of harmonic oscillator energy): 1
(半经典量子理论, Semi-classical quantum theory): 3
(玻尔半径, Bohr radius): 3
(能级图, Energy level diagram): 2
(能量间隔, Energy gap): 4
(卢瑟福关于原子的有核模型, Rutherford's nuclear model of the atom): 1
(角动量, Angular momentum): 186
(可能值, Possible values): 7
(转动动能, Rotational kinetic energy): 18
(氢光谱, Hydrogen spectrum): 3
(受激态, Excited state): 7
(普朗克量子假设, Planck's quantum hypothesis): 3
(质量, Mass): 641
(量子化, Quantization): 49
(电离状态, Ionization state): 1
(莱曼系, Lyman series): 4
(氢原子结构, Structure of hydrogen atom): 2
(里德伯常量, Rydberg constant): 1
(定态, Stationary state): 39
(跃迁频率公式, Transition frequency formula): 1
(电离能, Ionization energy): 3
(基态, Ground state): 40
(类氢离子, Hydrogen-like ion): 3
(波长, Wavelength): 470
(轨道角动量, Orbital angular momentum): 12
(稳定圆轨道, Stable circular orbit): 4
(能量量子化, Quantization of energy): 6
