(分离变量, Separation of variables): 21
(变量代换, Variable substitution): 5
(力矩的元功, Elemental work of torque): 1
(转动定律, Rotational law): 29
(内力, Internal force): 65
(定轴转动的动能定理, Kinetic energy theorem for rotational motion about a fixed axis): 7
(非刚体, Non-rigid body): 5
(刚体绕定轴转动的动能定理, Kinetic energy theorem for rigid body rotation about a fixed axis): 4
(合外力矩的功, Work done by net external torque): 1
(刚体绕定轴转动动能定理, Kinetic energy theorem for rigid body rotation about a fixed axis): 2
(外力, External force): 129
(合外力矩, Net external torque): 19
(质点系的动能定理, Kinetic energy theorem for a system of particles): 9
(角速度, Angular velocity): 156
(刚体绕定轴转动的功能关系, Functional relationship of rigid body rotation about a fixed axis): 2
