(磁化方向, Magnetization direction): 11
(数据, Data): 1
(脉冲电流, Pulse current): 2
(临界温度, Curie temperature): 1
(外半径, Outer radius): 1
(自旋磁矩, Spin magnetic moment): 2
(矩磁材料, Rectangular magnetic material): 2
(交换耦合, Exchange coupling): 1
(磁场强度, Magnetic field strength): 1
(磁芯外半径, Outer radius of magnetic core): 0
(磁场线, Magnetic field lines): 1
(磁芯材料的矫顽力, Coercive force of magnetic core material): 1
(磁芯材料, Magnetic core material): 2
(外磁场, External magnetic field): 2
(磁畴, Magnetic domain): 16
(磁芯, Magnetic core): 13
(无限长载流直导线, Infinite long current-carrying wire): 2
(电流, Current): 3
(磁性, Magnetism): 7
(同心圆, Concentric circles): 1
(安培环路定理, Ampere's circuital law): 1
(峰值, Peak value): 2
(无限长载流直导线, Infinite long current-carrying straight wire): 2
(铁磁质, Ferromagnetic material): 13
(磁滞现象, Hysteresis): 1
(矫顽力, Coercive force): 1
