(振幅, Amplitude): 4
(斜椭圆轨迹, Slanted elliptical trajectory): 0
(频率, Frequency): 22
(拍频, Beat frequency): 2
(初相差, Phase difference): 11
(相位差, Phase difference): 2
(圆, Circle): 13
(谐振动, Harmonic vibration): 32
(同频率相互垂直的谐振动, Harmonic oscillations with the same frequency and mutually perpendicular): 1
(受迫振动, Forced vibration): 1
(相互垂直的谐振动, Mutually perpendicular harmonic oscillations): 14
(非周期运动, Non-periodic motion): 1
(阻尼振动, Damped vibration): 1
(斜椭圆, Slanted ellipse): 2
(椭圆轨迹, Elliptical trajectory): 0
(直线轨迹, Straight line trajectory): 1
(合成运动, Composite motion): 14
(拍, Beating): 5
(天体力学, Celestial mechanics): 0
(正圆轨迹, Circular trajectory): 0
(合成运动, Synthetic motion): 14
(李萨如图, Lissajous figure): 2
(谐振动, Harmonic oscillation): 32
(正椭圆, Ellipse): 4
(闭合曲线, Closed curve): 1
(轨迹方程, Trajectory equation): 5
(合成, Synthesis): 24
(分解, Decomposition): 2
