(光学仪器, Optical instrument): 5
(柱面透镜, Cylindrical lens): 1
(卫星载红外摄像机, Satellite-borne infrared camera): 1
(屈光度, Diopter): 2
(透镜焦距, Lens focal length): 6
(角膜, Cornea): 3
(反射镜, Reflecting mirror): 3
(色散像差, Chromatic aberration): 3
(巩膜, Sclera): 1
(远点, Far point): 7
(虹膜, Iris): 3
(透镜, Lens): 41
(显微镜, Microscope): 2
(焦点, Focus): 3
(近视眼, Myopia): 10
(位置色差, Lateral chromatic aberration): 1
(照相机, Camera): 2
(远视眼, Hyperopia): 9
(明视距离, Far point): 3
(放大率色散, Longitudinal chromatic aberration): 0
(明视距离, Clear vision distance): 3
(扫描电镜, Scanning electron microscope): 1
(眼镜度数, Glasses prescription): 1
(老花眼, Presbyopia): 1
(像散, Spherical aberration): 1
(毛玻璃屏, Frosted glass screen): 2
(散光, Astigmatism): 5
(天文望远镜, Telescope): 2
(光焦度, Optical power): 5
(瞳孔, Pupil): 1
(角膜曲率, Corneal curvature): 1
(眼, Eye): 60
(前房, Anterior chamber): 2
(彗形像差, Coma aberration): 1
(凸透镜, Convex lens): 5
(折射率, Refractive index): 3
(视网膜, Retina): 10
(晶状体, Lens): 2
(近点, Near point): 15
(彩色环, Colored ring): 1
(复合透镜, Compound lens): 2
