(X射线, X-ray): 1
(电磁场, Electromagnetic field): 3
(可见光谱, Visible spectrum): 2
(红外防伪, Infrared anti-counterfeiting): 0
(衍射, Diffraction): 0
(频率, Frequency): 7
(紫外线, Ultraviolet): 3
(红外通信, Infrared communication): 1
(波长, Wavelength): 16
(实验证, Experimental verification): 1
(1射线, Gamma ray): 1
(红外报警, Infrared alarm): 1
(电磁波谱, Electromagnetic spectrum): 3
(荧光效应, Fluorescence effect): 1
(折射, Refraction): 1
(传播, Propagation): 1
(微波, Microwave): 1
(红外线, Infrared radiation): 3
(可见光, Visible light): 8
(磁场, Magnetic field): 4
(可见光七种颜色的波长和频率, Wavelength and frequency of the seven colors of visible light): 2
(偏振, Polarization): 1
(电磁波, Electromagnetic wave): 14
(红外线, Infrared): 3
(文物鉴定, Cultural relic identification): 1
(人眼对不同波长的光的相对灵敏度, Relative sensitivity of the human eye to different wavelengths of light): 1
(光, Light): 15
(迈克斯韦电磁场理论, Maxwell's electromagnetic field theory): 1
(化学效应, Chemical effect): 1
(颜色, Color): 3
(电场, Electric field): 1
(赫兹, Hertz): 2
(紫外线, Ultraviolet radiation): 3
(红外热像, Infrared thermal imaging): 0
(无线电波, Radio wave): 1
