(静能, Rest energy): 2
(低速近似, Low-speed approximation): 1
(粒子, Particle): 3
(质点动能, Particle kinetic energy): 1
(氦核, Helium nucleus): 1
(静止, Rest): 13
(静止质量, Rest mass): 11
(碰撞, Collision): 1
(牛顿力学, Newtonian mechanics): 1
(功, Work): 3
(光速, Speed of light): 1
(裂变, Fission): 7
(1千万吨级, 10,000,000 ton level): 1
(相对论动能, Relativistic kinetic energy): 3
(能量, Energy): 22
(铀, Uranium): 3
(能量守恒定律, Law of conservation of energy): 2
(相对论能量, Relativistic energy): 2
(相对论质能关系, Relativistic mass-energy relation): 2
(广岛爆炸, Hiroshima explosion): 1
(能量释放, Energy release): 0
(氘核, Deuterium nucleus): 2
(聚变, Fusion): 4
(原子能, Atomic energy): 2
(氚核, Tritium nucleus): 2
(动能定理, Kinetic energy theorem): 1
(物体静止时的能量, Rest energy of an object): 1
(相互作用, Interaction): 1
(吨级, Ton level): 2
(相对论动量, Relativistic momentum): 1
(质量守恒定律, Law of conservation of mass): 1
(质量亏损, Mass loss): 2
(相对论质量, Relativistic mass): 2
(核能, Nuclear energy): 2
(狭义相对论, Special theory of relativity): 3
(速度, Velocity): 1
(相对论动力学方程, Relativistic dynamics equation): 1
(氢弹, Hydrogen bomb): 3
(质量, Mass): 26
(中子, Neutron): 3
(质点, Particle): 7
(2万吨级, 20,000 ton level): 1
(标准煤燃料, Standard coal fuel): 1
(合力, Net force): 1
(热核爆炸, Thermonuclear explosion): 1
(原子弹, Atomic bomb): 2
