(右手螺旋法则, Right-hand rule): 1
(运动电荷, Moving charge): 12
(光速, Speed of light): 2
(带电粒子, Charged particle): 2
(载流子, Charge carrier): 4
(位矢, Position vector): 4
(电流, Electric current): 10
(电荷定向运动速度, Speed of charged particle): 1
(毕-萨定律, Biot-Savart law): 3
(电感应强度, Magnetic induction): 0
(磁感应强度, Magnetic induction): 10
(电流强度, Current intensity): 1
(磁场, Magnetic field): 9
(带电细棒, Charged rod): 2
(电流元, Current element): 7
(磁感应强度大小, Magnitude of magnetic induction): 0
(电场和磁场之间的关系, Relationship between electric field and magnetic field): 0
(电场强度, Electric field strength): 1
(电场, Electric field): 6
(电荷正负, Charge polarity): 0
(夹角, Angle): 2
(电荷运动速度, Charge velocity): 0
