(加速度方向, Direction of acceleration): 0
(g-1/2, g-1/2): 1
(左旋, Counterclockwise rotation): 1
(原子振动频率, Atomic vibration frequency): 1
(频率, Frequency): 48
(平衡轮的周期, Period of a balance wheel): 0
(振动方程, Oscillation equation): 5
(扭转系数, Torsion coefficient): 1
(振动的分解, Decomposition of Vibration): 1
(音叉, Tuning fork): 5
(同方向同频率的简谐振动, Harmonic oscillations with the same direction and frequency): 1
(液体柱的运动微分方程, Differential equation of liquid column motion): 1
(相对改变, Relative change): 2
(临界阻尼, Critical Damping): 2
(B-52, B-52): 1
(质量为25kg的木块, A block with a mass of 25kg): 1
(弹簧振子, Spring oscillator): 5
(劲度系数为1250N_nT1的弹簧, A spring with a stiffness coefficient of 1250N_nT1): 1
(微分方程, Differential equation): 6
(合成振动的轨迹, Trajectory of the composite oscillation): 1
(静止被释放, Released from rest): 1
(余弦振动, Cosine oscillation): 1
(平衡位置, Equilibrium position): 10
(固有频率, Natural frequency): 1
(单摆周期, Pendulum period): 2
(汽车, Car): 3
(叠加, Superposition): 3
(弦, String): 3
(势能, Potential Energy): 4
(速度振幅, Velocity amplitude): 2
(固体, Solid): 3
(弹簧的劲度系数, Spring constant): 0
(活塞, Piston): 5
(位移共振, Displacement Resonance): 1
(Ag的更髙次项小量, Higher order terms of Ag): 0
(小阻尼, Small Damping): 2
(物体, Object): 20
(钟的准确性与温度, Accuracy of a clock and temperature): 0
(谐振动, Harmonic oscillation): 38
(拍频, Beat Frequency): 1
(螺旋形弹簧, Spiral spring): 1
(单摆的周期, Period of a pendulum): 0
(小球, Ball): 3
(周期, Period): 28
(机械振动, Mechanical vibration): 2
(受迫振动, Forced Vibration): 2
(振幅比, Amplitude ratio): 2
(振幅衰减, Amplitude decay): 2
(耦合双振子系统, Coupled double pendulum system): 2
(冲压喷气发动机, Ramjet engine): 1
(右旋, Clockwise rotation): 1
(耦合振子, Coupled oscillators): 3
(碗底, Bowl bottom): 1
(振动频率, Vibration frequency): 2
(自由度, Degrees of freedom): 16
(振动系统, Oscillation system): 4
(位移, Displacement): 11
(最大频率, Maximum frequency): 1
(阻尼振动, Damped Vibration): 3
(振动周期, Vibration period): 3
(大阻尼, Large Damping): 2
(地球, Earth): 4
(单摆, Pendulum): 8
(合振动, Combined oscillation): 6
(角频率, Angular frequency): 8
(弹簧, Spring): 32
(简化, Simplification): 4
(U+Ag)_1/2展开, Expansion of U+Ag): 1
(初始振幅和相位, Initial amplitude and phase): 1
(合振动的初相位, Initial phase of combined oscillation): 0
(频率测量, Frequency measurement): 0
(频率方程, Frequency equation): 1
(等效劲度系数, Equivalent spring constant): 1
(简谐振动, Simple Harmonic Motion): 12
(小阻尼, Small damping): 2
(固定轴, Fixed axis): 1
(g4/2Ag, g4/2Ag): 1
(李萨如图形, Lissajous Figure): 1
(合振动振帳, Zero amplitude of the combined oscillation): 1
(合振动振幡, Maximum amplitude of the combined oscillation): 1
(坐标, Coordinate): 5
(合成运动, Composite motion): 2
(初相, Initial phase): 8
(砝码, Weight): 4
(速度, Velocity): 15
(摆动, Swing): 3
(能量动能, Kinetic Energy): 1
(选择题, Multiple Choice): 1
(摆长, Pendulum length): 2
(运动微分方程, Differential Equation of Motion): 3
(相位, Phase): 11
(质点的谐振动, Harmonic oscillation of a particle): 0
(时间, Time): 5
(最大速率, Maximum velocity): 1
(简正振动模式, Normal mode of vibration): 4
(转动惯量, Moment of inertia): 3
(简正频率, Normal frequencies): 6
(火箭推进器, Rocket booster): 1
(t时的位移, Displacement at time t): 1
(相互垂直的两个简谐振动的合成, Composite of Perpendicular Simple Harmonic Vibrations): 1
(周期性外力, Periodic external force): 2
(阻尼振动的角频率, Angular frequency of damped oscillation): 1
(最大加速度, Maximum acceleration): 1
(简正振动, Normal modes): 14
(合振动的振幅, Amplitude of combined oscillation): 2
(重力加速度, Gravity acceleration): 1
(悬挂轴, Suspension axis): 2
(单摆, Simple pendulum): 8
(最短时间, Shortest time): 1
(谐振动系统的动能和势能, Kinetic and potential energy of harmonic oscillation system): 0
(阻尼因子, Damping factor): 1
(初始条件, Initial Conditions): 2
(加速度振幅, Acceleration amplitude): 0
(旋转矢量表示, Rotational Vector Representation): 1
(直角均质细杆, Right-angled homogeneous rod): 1
(X-43A极速飞机, X-43A hypersonic aircraft): 1
(振幅, Amplitude): 29
(拉力, Tension): 2
(谐振动, Harmonic motion): 38
(宝钢的振动选煤机, Vibration coal selector of Baosteel): 1
(速度共振, Velocity Resonance): 1
(复摆的周期, Period of a compound pendulum): 0
(振动方程, Vibration equation): 5
(总机械平均能量, Total Mechanical Average Energy): 0
(线性振动, Linear vibration): 2
(分离, Separation): 4
(物理方面, Physical aspect): 1
(角频率, Angular Frequency): 8
(月球, Moon): 3
(半径, Radius): 4
(角加速度, Angular acceleration): 1
(细杆, Rod): 7
(质量, Mass): 14
(U+Ag)~1/2, U+Ag): 1
(初相位, Initial Phase): 4
(质点, Particle): 9
(互相垂直的同频率谐振动, Orthogonal harmonic oscillations with the same frequency): 1
(简正频率, Natural frequency): 6
(驱动力角频率, Driving Force Angular Frequency): 0
(合成振动, Composite Vibration): 1
(加速度, Acceleration): 7
(微振动, Micro vibration): 1
(合振动振幅, Amplitude of the combined oscillation): 1
