(uud, uud): 2
(渐进自由理论, asymptotic freedom theory): 2
(粒子的分类, Classification of particles): 1
(Ca, Calcium): 4
(高能加速器, high-energy accelerator): 1
(守恒情况, Conservation situation): 1
(频率, Frequency): 1
(夸克模型, Quark model): 7
(能量的共振吸收, Resonant absorption of energy): 1
(能量, Energy): 14
(无共振吸收, No resonant absorption): 1
(t子, top quark): 3
(核物质的平均密度, Average density of nuclear matter): 1
(质子, Proton): 9
(静止能量, Rest energy): 1
(UBS^, UBS^): 1
(J/ψ粒子, J/ψ particle): 0
(轻子, Lepton): 8
(两弹一艇, Two Bombs, One Satellite): 1
(原子核的结合能, binding energy of atomic nuclei): 1
(色荷, color charge): 4
(发射7射线, Emission of 7 rays): 1
(反冲吸收, Recoil absorption): 1
(中子散射实验, Neutron scattering experiment): 1
(动量守恒, Conservation of momentum): 0
(因子, Factor): 2
(过程是否可能发生, Whether the process is possible): 1
(光子, Photon): 6
(原子核的基本性质, basic properties of atomic nuclei): 1
(电荷数, charge number): 1
(电磁相互作用, Electromagnetic interaction): 2
(+n—jx_+p, +n—jx_+p): 1
(双环改造, double-ring upgrade): 1
(奇异粒子, strange particle): 4
(dds, dds): 1
(粒子物理, Particle physics): 6
(A—?!!+-y, A—?!!+-y): 1
(BESIII, Beijing Spectrometer III): 1
(量子力学基本知识, Basic knowledge of quantum mechanics): 1
(中子, Neutron): 8
(共振态粒子, resonance particles): 2
(Ge, Germanium): 5
(udd, udd): 1
(it-+p—*>K0+x, it-+p—*>K0+x): 1
(强相互作用, Strong interaction): 8
(强度, Intensity): 2
(铁原子, Iron atom): 1
(髙频磁场, High-frequency magnetic field): 1
(Mg, Mg): 1
(平均生存时间, Average survival time): 1
(磁矩, magnetic moment): 5
(H—A0+7T, H—A0+7T): 1
(夸克, Quark): 83
(K°, K°): 2
(弱相互作用, Weak interaction): 2
(51Fe, 51Fe): 1
(第六种夸克, top quark): 1
(角动量守恒, Conservation of angular momentum): 0
(光子的能级宽度, Photon energy level width): 1
(Z+, Z+): 3
(核磁矩, Nuclear magnetic moment): 2
(反应堆工程和材料, Reactor engineering and materials): 1
(t子物理, top quark physics): 1
(粒子的基本属性, basic properties of particles): 2
(夸克, quark): 83
(运动速率, Motion rate): 1
(重子数守恒, Conservation of baryon number): 0
(能级宽度, Energy level width): 3
(质量数, mass number): 1
(反冲能量, Recoil energy): 3
(粒子间相互作用, Particle interactions): 1
(能量守恒, Conservation of energy): 0
(核物理实验, Nuclear physics experiment): 1
(探测器, detector): 1
(费米子, Fermion): 2
(Z'A, Z'A): 1
(粲数C, charm number): 1
(uus, uus): 2
(强相互作用力, strong interaction): 5
(14.4IceV的光子, Photon of 14.4IceV): 1
(核磁共振法, Nuclear Magnetic Resonance): 1
(反质子, Antiproton): 1
(自由的37Fe, Free 37Fe): 1
(ddd, ddd): 1
(轻子数守恒, Conservation of lepton number): 0
(U, U): 11
(结合能, Binding energy): 7
(A°粒子, A° particle): 1
(守恒定律, Conservation laws): 3
(核自旋, nuclear spin): 3
(核子, Nucleon): 3
(核磁共振, nuclear magnetic resonance): 2
(粲夸克, charm quark): 6
(x是什么粒子, What particle is x): 1
(恒定磁场, Constant magnetic field): 2
(激发态, Excited state): 1
